"age_group","N_hat_T","N_hat_T5","log_ratio","p_hat_T","p_hat_T5","prev_change"
"<20",99.4869635363908,99.4869642312297,6.98422133679018e-09,0.11507535499157,0.115075292744142,6.22474272959916e-08
"20-29",1257.09141580906,1257.09142535313,7.59218779617859e-09,0.17661529630701,0.176615225893292,7.04137188001219e-08
"30-39",1468.92146790757,1468.92148991814,1.49841696840594e-08,0.274262165228455,0.274262063294839,1.01933616658556e-07
"40-49",1865.72485524745,1865.72489242442,1.99262902609505e-08,0.437084107217202,0.437083995185225,1.12031976640115e-07
"50-59",1480.26218190171,1480.26221751448,2.40584193241486e-08,0.487843917150034,0.487843797525629,1.19624405214847e-07
"60+",446.809590342926,446.809601065578,2.39982588905115e-08,0.373358319774412,0.373358214179181,1.05595231447708e-07
