"age_group","p_hat","p_lo","p_hi","p_obs_lo","p_obs_hi","N_hat","N_lo","N_hi","N_obs","N_obs_lo","N_obs_hi","p_overlap","N_overlap"
"<20",0.111875948993722,0.0652901554794042,0.194901056601689,0.0604892034858865,0.184039743924767,99.5188414828321,81.9186826801807,121.330763878253,99,81.3795043246405,120.435729872496,TRUE,TRUE
"20-29",0.172582191152331,0.155345899704327,0.198839448830537,0.152591037813342,0.194588375392617,1257.58961271772,1038.08043472136,1525.54732614503,1244,1022.5869028268,1513.35401981197,TRUE,TRUE
"30-39",0.268283478734484,0.248970614603623,0.295161710476682,0.246366946606246,0.291695838716589,1469.96626259771,1238.46139313987,1789.68714819639,1467,1205.89629135604,1784.63854265607,TRUE,TRUE
"40-49",0.430297561521635,0.411590503362379,0.46057579138581,0.407709214451291,0.45291201539318,1867.35058903859,1564.21139980585,2264.25111892972,1841,1513.32997436024,2239.61796661883,TRUE,TRUE
"50-59",0.480519808065886,0.462187634552296,0.512707734178752,0.457963856757478,0.50647288266655,1481.71663082961,1296.26328663748,1749.00081489336,1628,1338.24073778298,1980.49866901437,TRUE,TRUE
"60+",0.366804101082372,0.335996772346911,0.708344777548046,0.3093180036063,0.401779193754153,447.229556267762,391.105012091958,536.59637345187,409,336.204214836141,497.557712301523,TRUE,TRUE
