"scenario","year","hcv_median","hcv_lo","hcv_hi","dc_median","dc_lo","dc_hi","hcc_median","hcc_lo","hcc_hi"
"aggressive_treatment_all",2017,11065.1096153975,10005.5769676965,12285.4468285781,479.199988829626,428.904187621275,534.751479400823,125.570140317268,112.67334253195,140.14638006811
"aggressive_treatment_all",2027,45.0655145098763,38.1160964423429,53.2939708898428,6.40379490470976,5.73908404501779,7.17222899414461,0.591557374314306,0.5345379933574,0.660314590460608
"aggressive_treatment_all",2037,0.468515634688732,0.328315938724819,0.671755114031232,0.766569394252167,0.684360763689694,0.86228649518976,0.00434300589779658,0.00372079309225787,0.00526985491522677
"aggressive_treatment_all",2047,0.0049867266016787,0.00287352769897201,0.00891638100878231,0.10448990106142,0.0928325454342311,0.118973615689765,4.63704707244575e-05,3.50799586804962e-05,6.47747772646604e-05
"aggressive_treatment_all",2057,5.30043621562398e-05,2.50054696993791e-05,0.000119032675991684,0.0137486320156534,0.0121814867906176,0.0157965537659219,4.99056928789101e-07,3.23501117076023e-07,8.40498155239893e-07
"aggressive_treatment_all",2067,5.65344387156879e-07,2.19896561583614e-07,1.59835166714534e-06,0.00174662946856048,0.0015362181349566,0.00202684932576948,5.33842901633565e-09,2.91190975616394e-09,1.12143253846278e-08
"broad_community_rho60",2017,11065.1096153975,10005.5769676965,12285.4468285781,479.199988829626,428.904187621275,534.751479400823,125.570140317268,112.67334253195,140.14638006811
"broad_community_rho60",2027,5639.36350641705,5101.32013471048,6307.01956331321,365.65948186769,327.088509903248,409.763135478334,83.2390660757378,74.460798833657,93.1950109986921
"broad_community_rho60",2037,2712.74959229277,2414.95309185711,3052.19054936726,222.970557019414,199.102071874884,251.210831468681,48.764170219994,43.5654631552665,54.896712974198
"broad_community_rho60",2047,1192.72362535463,1055.69000977133,1357.21462278803,114.615283731229,101.248172820992,130.143487737476,24.3328956552856,21.5003496190658,27.6263075472737
"broad_community_rho60",2057,488.911144212034,426.285935568561,565.995614864658,52.1380039671518,45.7541963560117,59.5571146087542,10.8379196275848,9.48621233688616,12.3666817188866
"broad_community_rho60",2067,190.084265757481,162.274337177488,223.472349778667,21.7366304439272,18.8748025878116,24.8674243223504,4.4514135513467,3.85723907219175,5.10629972646935
"broad_treatment_community",2017,11065.1096153975,10005.5769676965,12285.4468285781,479.199988829626,428.904187621275,534.751479400823,125.570140317268,112.67334253195,140.14638006811
"broad_treatment_community",2027,5602.25160120633,5068.17666962601,6265.12853532626,378.252582653867,338.40602281114,423.877703039358,92.6076348221474,82.8249069549222,103.661977311631
"broad_treatment_community",2037,2662.91044700292,2371.16789924047,2996.75502951736,229.168209197589,204.638312512639,258.110619152239,53.7108204120077,48.0079178306696,60.4771928368875
"broad_treatment_community",2047,1154.81942799331,1022.68501875621,1316.28932823989,115.955817340939,102.397542903261,131.601232936469,26.3712394074341,23.3066590430183,29.9434406887139
"broad_treatment_community",2057,467.084320048392,407.225380218709,540.927120685308,51.8061425461522,45.4061707354944,59.1789272761087,11.5533723330378,10.0946177903498,13.1622865437161
"broad_treatment_community",2067,178.870910346597,152.842309568199,211.10143782568,21.2105778387346,18.4001131349979,24.2828174977844,4.66207674604282,4.03394378417425,5.34914459712384
"community_40plus",2017,11065.1096153975,10005.5769676965,12285.4468285781,479.199988829626,428.904187621275,534.751479400823,125.570140317268,112.67334253195,140.14638006811
"community_40plus",2027,8393.07103395276,7592.34892558784,9363.50494025909,423.192490718505,379.373420506813,474.242275166086,107.189304034498,96.1822825744224,119.945110421415
"community_40plus",2037,7223.68494547715,6514.87452251233,8073.91852581611,359.63174743855,320.763605426152,404.98822380754,90.6792643022055,80.9572853989487,101.832900103035
"community_40plus",2047,6561.60360820854,5879.50091303427,7353.7698038714,314.933483986503,280.782181160518,355.791090476635,79.6984750247951,71.0380911367331,89.8309578738171
"community_40plus",2057,6185.45676714603,5489.66372654368,6963.50430869409,286.078351167811,254.023376122484,325.499452779236,72.7514832312669,64.619843876567,82.615193289687
"community_40plus",2067,5960.13393844555,5259.02912834226,6717.79046980384,268.958264376003,236.811000823013,308.472562915446,68.6526698934489,60.506662682439,78.6513900738114
"dc_without_rbv",2017,11065.1096153975,10005.5769676965,12285.4468285781,479.199988829626,428.904187621275,534.751479400823,125.570140317268,112.67334253195,140.14638006811
"dc_without_rbv",2027,11065.1412104138,10005.6005261022,12285.4763361293,479.203676375801,428.907165761798,534.755544723171,125.571084775414,112.674025356005,140.14731786908
"dc_without_rbv",2037,11065.1534055836,10005.609421662,12285.4873071204,479.205092782644,428.908305060282,534.75707278264,125.571449243505,112.674286072099,140.147671924627
"dc_without_rbv",2047,11065.1580898141,10005.6127614089,12285.4913643494,479.205633537444,428.908737871026,534.757643201905,125.571589073332,112.674384977332,140.147804717962
