"scenario","year","hcv_median","hcv_lo","hcv_hi","dc_median","dc_lo","dc_hi","hcc_median","hcc_lo","hcc_hi"
"aggressive_treatment_all",2017,11065.1096153975,10005.5769676965,12285.4468285781,479.199988829626,428.904187621275,534.751479400823,125.570140317268,112.67334253195,140.14638006811
"aggressive_treatment_all",2018,6441.99304707309,5824.91592243108,7146.42185750599,322.886997683136,289.036488915542,360.225409760708,90.8503390500066,81.5222958582006,101.389430752619
"aggressive_treatment_all",2019,3290.87051765793,2976.30368693853,3642.37321191371,190.207054971462,170.335850513845,212.190516202878,55.7528781333751,50.027493945328,62.2221818858959
"aggressive_treatment_all",2020,1742.84669755569,1572.6682184887,1925.96526870353,111.325449652444,99.7677325268579,124.224179009768,32.5448966921908,29.203055456593,36.3183120084171
"aggressive_treatment_all",2021,959.556377511055,863.919464879178,1065.55573202304,65.9026311548525,59.1213663538337,73.5803441252014,18.4938240406183,16.5970440360576,20.6329213529744
"aggressive_treatment_all",2022,545.071930488816,488.671114928033,610.262898970174,40.1070381846573,36.0038514374788,44.7737562886272,10.3644390532258,9.30954171704293,11.5641828585663
"aggressive_treatment_all",2023,319.872476543828,285.843414445591,359.336038177634,25.3656599083535,22.7844686475169,28.3270129519277,5.77966705586583,5.19425787128426,6.45125705717587
"aggressive_treatment_all",2024,191.508250858054,170.97199839718,217.237341237437,16.8024554679951,15.0776555720142,18.777908162762,3.22613552292191,2.90277468739799,3.60606752942003
"aggressive_treatment_all",2025,116.99773996408,102.986063035089,135.173571863812,11.6764018551569,10.4747371479862,13.0610984159786,1.81100856901532,1.63353181125594,2.02662130094332
"aggressive_treatment_all",2026,72.3801923363064,62.2191989486047,84.6682254061655,8.48729056807944,7.61102169468296,9.5003212648448,1.02824464945719,0.928652946448596,1.14930093419155
"aggressive_treatment_all",2027,45.0655145098763,38.1160964423429,53.2939708898428,6.40379490470976,5.73908404501779,7.17222899414461,0.591557374314306,0.5345379933574,0.660314590460608
"aggressive_treatment_all",2028,28.2959778082015,23.5666350427046,34.0447394721517,4.96943157096663,4.45060191805533,5.56715414801926,0.344874806445896,0.311882365436655,0.385203118466371
"aggressive_treatment_all",2029,17.8831389491496,14.5135745986112,22.0017981435587,3.9308325165969,3.51777679716677,4.40689803062514,0.203930663475294,0.183783154340812,0.229290033044766
