"age_group","prev_residual","log_pop_residual","pop_ape"
"<20",0.069848803786026,-0.058769578480077,0.0570759858883143
"20-29",-0.00229699996297056,0.0794725623348214,0.0827158519268579
"30-39",0.00358977835599472,0.0245011616985602,0.024803781619584
"40-49",-0.00524298466137446,0.344071151549715,0.410679003934231
"50-59",-0.00723843087280457,-0.188087416917401,0.171457724544812
"60+",0.0245163827156955,0.000794236344590971,0.000794551833795709
