"age_group","p_hat","p_lo","p_hi","p_obs_lo","p_obs_hi","N_hat","N_lo","N_hi","N_obs","N_obs_lo","N_obs_hi","p_overlap","N_overlap"
"<20",0.180959914897137,0.12282045653691,0.271157901501796,0.0604892034858865,0.184039743924767,93.3494773970569,76.7222026193503,111.733278371642,99,81.3795043246405,120.435729872496,TRUE,TRUE
"20-29",0.170532582030599,0.152804248420159,0.196614438963112,0.152591037813342,0.194588375392617,1346.89851979701,1114.5399638568,1628.67649575795,1244,1022.5869028268,1513.35401981197,TRUE,TRUE
"30-39",0.272165102146042,0.252639658095723,0.299652947170479,0.246366946606246,0.291695838716589,1503.38714763593,1273.52742298106,1886.87377952761,1467,1205.89629135604,1784.63854265607,TRUE,TRUE
"40-49",0.42495799306812,0.404615468732819,0.449466916307187,0.407709214451291,0.45291201539318,2597.06004624292,2318.24965084323,2942.47816535555,1841,1513.32997436024,2239.61796661883,TRUE,FALSE
"50-59",0.474948301313928,0.454027270380594,0.504043807352255,0.457963856757478,0.50647288266655,1348.86682444105,1202.96090825188,1522.17153191474,1628,1338.24073778298,1980.49866901437,TRUE,TRUE
"60+",0.379039610099559,0.32937841083089,0.417650682878896,0.3093180036063,0.401779193754153,409.324971700022,361.628860499245,491.576080667761,409,336.204214836141,497.557712301523,TRUE,TRUE
