"age","N_hat","p_sero","p_viremic","nll_prev","nll_pop","prev_rmse","pop_mape","eq_pass","eq_max_prev"
"<20",586.649061571049,0.0744158887267702,0.0561309031778677,6873.15467220019,412.497979992584,0.521310316499194,1.21916754089393,TRUE,6.66752260303216e-06
"20-29",1566.02321389134,0.872775129325412,0.818283811929117,6873.15467220019,412.497979992584,0.521310316499194,1.21916754089393,TRUE,6.66752260303216e-06
"30-39",1394.32107112764,0.955364912023238,0.916568548124386,6873.15467220019,412.497979992584,0.521310316499194,1.21916754089393,TRUE,6.66752260303216e-06
"40-49",862.790528981761,0.942758191699034,0.906097407232889,6873.15467220019,412.497979992584,0.521310316499194,1.21916754089393,TRUE,6.66752260303216e-06
"50-59",383.537844348768,0.872009315470901,0.832964351313726,6873.15467220019,412.497979992584,0.521310316499194,1.21916754089393,TRUE,6.66752260303216e-06
"60+",87.8961291936494,0.857474403363553,0.816579468913723,6873.15467220019,412.497979992584,0.521310316499194,1.21916754089393,TRUE,6.66752260303216e-06
