"field","value"
"name","M1_2015_singapore_mu_plus_scalar_smr"
"baseline_year","2015"
"mu","2e-04|0.00025|0.00045|0.0012|0.00335|0.0218818"
"omega","14.68"
"smr_source","Mathers et al. 2013 pooled PWID SMR (PMID 23554523)"
"p_CC_DC","0.0788"
"p_CC_HCC","0.0479"
"p_DC_HCC","0.0464"
"progression_sources","Alazawi et al. 2010 (PMID 20497143); Rivera-Irigoin et al. 2006 (PMID 17209765)"
"m_min","1"
"m_max","1"
"eta_s","1|1|1|1|1|1"
