"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12"
"1",-0.00289804043926939,0.00037105625922864,-0.00233184406152376,-0.0183621476097407,0.0149326460280003,-0.0539822146922707,-0.0992361932264802,-0.00297492200169999,0.00147570482672083,-1.18068231399043e-07,0.993122226000725,-0.01900496273168
"2",-0.062359214487388,-0.0901341441743176,0.0453807931207352,-0.369727386770338,0.109921510942745,0.105957195214635,-0.87969034882606,-0.00248551761301821,0.0129573264281355,3.51025299208326e-08,-0.0946644824109516,-0.207193623383254
"3",-0.448563289375187,-0.443230335978821,0.263938433846565,-0.183826066680649,-0.0201367339740034,-0.109360405374894,-0.0122170593556733,-0.0067946965314454,-0.00836007491235217,-3.98815231226384e-11,0.00255141158535331,0.697312923820851
"4",-0.840187262554341,0.192258385731534,-0.303504253231797,0.243133309972132,-0.173662825584749,0.156337346428976,-0.0296398195376225,0.0445445465622897,0.0101204668041095,-1.18778723386167e-07,0.0053192313990916,-0.219772251044876
"5",-0.209048240824353,-0.0325067180055572,-0.0580761312183861,-0.19263097955399,0.907736848799329,-0.0685792353292339,0.24050748884211,-0.0233324974657616,0.0270994737416588,2.49199311190312e-06,-0.000891706341834682,-0.16416419388659
"6",-0.013064032330386,-0.00516350680508137,0.000715605208116807,-0.0101416029201835,0.0203064364440278,-0.00347740514725962,-0.000732153485218257,0.023944017789184,-0.999002899299038,-5.12676253066074e-06,0.000262452327557757,-0.0263466809393586
"7",0.00208341891475916,0.119975991271407,-0.100548831187559,-0.670715400501987,-0.169818973057949,0.632227722317953,0.304225416691063,0.000859316947030875,-0.000758825767655949,-2.37162745509712e-09,0.0553772702304974,0.0382199950464157
"8",-0.00520267470496704,0.531503448995652,-0.413686335552464,-0.367569258305077,-0.0571357588155765,-0.556788864032636,-0.0627673643878439,-0.00860969626066503,-0.00665702619774619,-1.16150724411769e-07,-0.0378557576197123,0.304078763936278
"9",-0.147836760187015,-0.299057079356296,0.214762559791752,-0.383701580246605,-0.314276226995543,-0.484402417066271,0.246782076222781,-0.00769594923403047,0.0169137838063228,-1.40683094186875e-07,-0.014393485183475,-0.548169844172597
"10",0.149205437310327,-0.60880351523719,-0.778083445482797,0.0118718304484944,-0.0348963739960827,-0.00598358524400191,0.000625716633745092,-0.0163004214236545,-0.000682135076714945,-8.74660929403823e-07,-0.000643346977290384,0.00454908173089631
"11",0.0309524541783435,-0.0202217848581477,-0.000459913778855218,-0.0226928235486813,0.025321771600231,-0.0183163405714956,0.00550214479483993,0.998216945060826,0.0241869338670549,-3.14074831536041e-06,0.00198123543117733,0.00921372399140015
"12",5.6232367318243e-07,-4.95500691967515e-07,-5.89592195410956e-07,3.08570528300631e-07,-2.18293704358477e-06,-3.25364857841175e-08,-5.41477692349089e-07,3.30473656622632e-06,-5.11128827225426e-06,0.999999999978407,1.24148009635551e-07,2.44183818897715e-07
