"age_group","p_hat","p_lo","p_hi","p_obs_lo","p_obs_hi","N_hat","N_lo","N_hi","N_obs","N_obs_lo","N_obs_hi","p_overlap","N_overlap"
"<20",0.0143260855511961,0.0133709892950285,0.0154098936571708,0.0604892034858865,0.184039743924767,561.041067915053,458.809877414608,672.436873978553,99,81.3795043246405,120.435729872496,FALSE,FALSE
"20-29",0.0461447842637754,0.0379838336841212,0.0564957994775075,0.152591037813342,0.194588375392617,2215.72874433758,1914.58212521618,2562.48181619871,1244,1022.5869028268,1513.35401981197,FALSE,FALSE
"30-39",0.589861054130277,0.563871760306026,0.614803950684353,0.246366946606246,0.291695838716589,2015.53855142132,1749.69181606035,2288.76292801526,1467,1205.89629135604,1784.63854265607,FALSE,TRUE
"40-49",0.369323400809347,0.350148269096435,0.391270764818032,0.407709214451291,0.45291201539318,8788.73677579037,7880.51219690846,9896.68857174268,1841,1513.32997436024,2239.61796661883,FALSE,FALSE
"50-59",0.517458557516738,0.496898791087799,0.536383833117276,0.457963856757478,0.50647288266655,4725.81243971287,4265.14272133761,5340.58733176661,1628,1338.24073778298,1980.49866901437,TRUE,FALSE
"60+",0.578587825652139,0.550644906531963,0.608846611112495,0.3093180036063,0.401779193754153,1126.22210337335,1013.59263290013,1275.40455046965,409,336.204214836141,497.557712301523,FALSE,FALSE
