"age_group","N_hat_T","N_hat_T5","log_ratio","p_hat_T","p_hat_T5","prev_change"
"<20",561.043340967879,561.042794859776,9.73380003152973e-07,0.014328478802451,0.0143277557278339,7.23074617035857e-07
"20-29",2215.73473018537,2215.73336441604,6.16395876438752e-07,0.0461498800694965,0.0461485083368602,1.37173263636825e-06
"30-39",2015.55397001028,2015.55063153838,1.65635587604529e-06,0.589873222647374,0.589870186337077,3.03631029741069e-06
"40-49",8788.70448632669,8788.71739952896,1.46929422878207e-06,0.36935058537072,0.369343822633105,6.76273761457402e-06
"50-59",4725.74778181251,4725.77276888122,5.28741773885851e-06,0.517499352246253,0.517489396050205,9.95619604748921e-06
"60+",1126.1966206621,1126.20656103664,8.8264611028146e-06,0.57864399484067,0.578630227496883,1.37673437869967e-05
