"perturbation","objective","max_abs_theta_shift"
1,854.345887413146,0.367563574159246
2,1060.14424019221,0.305806952509218
3,917.788783986147,0.390418864182368
4,924.133241138208,0.294726749085142
5,882.055337773289,0.283004597754227
