theta1,theta2,theta3,theta4,theta5,theta6,theta7,theta8,theta9,theta10,theta11,theta12
1.8433256,-2.456455,-2.8273237,-0.58126074,2.3183055,-1.3834031,-1.7923704,-0.07223977,0.22332883,1.6273992,2.9963408,4.544504
1.8359362,-2.4532952,-2.8239398,-0.58472365,2.282949,-1.6865014,-1.7921028,-0.07519516,0.2290858,1.6100932,2.9567435,4.554072
1.8407834,-2.4544342,-2.8298187,-0.58806556,2.3078945,-1.5811596,-1.794892,-0.07206264,0.22818714,1.6272525,2.9917326,4.5464787
1.8417281,-2.4488637,-2.8275135,-0.54688215,2.2700245,-1.3059644,-1.7920281,-0.07426861,0.23836327,1.614092,2.9549222,4.5190244
1.8423386,-2.4570403,-2.8293235,-0.5797883,2.3224306,-1.800297,-1.793719,-0.06844317,0.21755971,1.6198146,2.999483,4.529868
1.8398664,-2.4545107,-2.8236263,-0.58363396,2.2980297,-1.0932895,-1.7948563,-0.0735367,0.22669663,1.6290196,2.996218,4.553639
1.8411989,-2.4528816,-2.8238254,-0.58089674,2.3059924,-1.9996251,-1.791765,-0.07245404,0.22651698,1.6332068,2.984509,4.5327682
1.8411294,-2.451963,-2.831284,-0.5841741,2.3199778,-0.93498623,-1.7930822,-0.0692952,0.22119482,1.6208682,3.000808,4.564089
1.8381373,-2.4522326,-2.8209558,-0.5817879,2.29939,-1.0618964,-1.7897519,-0.07048534,0.22125739,1.6211969,2.9784954,4.5618773
1.8417238,-2.4558573,-2.8299983,-0.5845769,2.2791812,-1.8577174,-1.791093,-0.074172094,0.21184887,1.6264305,2.973298,4.5431156
1.8397281,-2.4504373,-2.8286836,-0.58096725,2.2993493,-0.69322395,-1.7920358,-0.07204631,0.21460806,1.6264867,2.984651,4.578604
1.8408881,-2.4552495,-2.8256297,-0.588706,2.3101854,-2.09256,-1.7916065,-0.06866243,0.22108585,1.6227264,2.9985087,4.5255623
1.8423762,-2.458734,-2.828084,-0.57587165,2.2702088,-1.5400804,-1.7936618,-0.07624281,0.22559026,1.6123824,2.9625401,4.5418534
1.843899,-2.4554815,-2.8256857,-0.57452106,2.3285375,-1.2855741,-1.797901,-0.07361948,0.21194372,1.6214025,2.9815114,4.5494456
1.8411577,-2.4553401,-2.826505,-0.5901516,2.3030396,-1.909579,-1.7981594,-0.07261604,0.2200347,1.6217043,2.9865217,4.5273366
1.8415611,-2.459179,-2.8327565,-0.5790956,2.320174,-1.1417897,-1.7924035,-0.06873652,0.22177413,1.6186751,2.9858785,4.55078
1.8409443,-2.454954,-2.8276746,-0.5855863,2.3662033,-0.87704587,-1.7923771,-0.07063744,0.21711902,1.6255331,3.0031872,4.5795937
1.8412249,-2.4558773,-2.8198013,-0.59729713,2.2672405,-1.9182923,-1.7907593,-0.07382077,0.23289032,1.6099327,2.965428,4.5035386
1.8433037,-2.4529552,-2.8269703,-0.5842704,2.3009887,-1.15273,-1.7962615,-0.07345669,0.22998907,1.6212059,2.9968674,4.555257
1.8412948,-2.4579408,-2.829345,-0.5863198,2.2739527,-1.6607431,-1.7928038,-0.07049573,0.21368209,1.6285706,2.9892955,4.536281
