theta1,theta2,theta3,theta4,theta5,theta6,theta7,theta8,theta9,theta10,theta11,theta12
1.7418295,-2.5011334,-2.9231067,-0.76442444,2.2412639,-1.5950441,-1.7848655,-0.092904456,0.23761109,1.6864724,3.0864255,4.708854
1.7428328,-2.5136755,-2.951396,-0.76997674,2.123897,-0.8974457,-1.7919407,-0.10110012,0.23119499,1.7227118,2.981215,4.8202076
1.7486236,-2.4805038,-2.9502919,-0.76666915,2.080181,-1.9503666,-1.7854967,-0.09176372,0.23348325,1.6701832,2.9654198,4.6673203
1.7325681,-2.514054,-2.9459517,-0.7619328,2.1875741,-1.4129597,-1.7829397,-0.08586521,0.22816128,1.6245989,3.0529475,4.7562184
1.7543845,-2.4895012,-2.938978,-0.7660481,2.172782,-1.651855,-1.781754,-0.09132734,0.24758512,1.6652689,3.0141995,4.734277
1.7481335,-2.5011728,-2.9305472,-0.7584352,2.092913,0.093954,-1.7878952,-0.0920999,0.22371753,1.6024581,2.9952908,4.9033885
1.7385172,-2.5232348,-2.937825,-0.7737114,2.1090899,-0.7862686,-1.7904465,-0.08798985,0.23543186,1.7003825,2.9650385,4.8146644
1.7421519,-2.4774985,-2.924353,-0.74012756,2.1309903,-0.5342201,-1.7809004,-0.08399134,0.20133474,1.5855979,3.0084512,4.7815223
1.743392,-2.5189397,-2.9451675,-0.7623504,2.1056128,-1.7206312,-1.7612879,-0.08066293,0.23403445,1.6683632,2.9130507,4.6926684
1.7346444,-2.4997175,-2.963639,-0.77768636,2.218463,-2.0682278,-1.7783265,-0.084198266,0.20717196,1.5730139,3.042177,4.7536736
1.7486941,-2.5112112,-2.9427187,-0.7460111,2.165162,-0.8985496,-1.7946709,-0.07762079,0.23797674,1.5880139,3.0410419,4.7779574
1.7316746,-2.5174966,-2.9511626,-0.77785224,2.1006124,0.13502368,-1.7816705,-0.09217695,0.24128494,1.6478463,2.9820158,4.831535
1.7308825,-2.502292,-2.9523573,-0.7640014,2.096575,-0.72209495,-1.7911531,-0.08437289,0.23462181,1.7327222,3.0287445,4.820422
1.7454106,-2.5013924,-2.9466803,-0.77444,2.161742,-2.2769608,-1.7708415,-0.07941519,0.23261091,1.6405315,3.0072541,4.6915402
1.7301208,-2.5082424,-2.9508877,-0.7632498,2.1446502,-1.048312,-1.7864752,-0.084359206,0.22832003,1.6283368,2.9838068,4.662264
1.7396227,-2.5296643,-2.9492147,-0.77410877,2.1776063,0.43435928,-1.7877524,-0.082832806,0.24707386,1.6945869,3.0425134,4.8526044
1.7464639,-2.5102375,-2.9755783,-0.7712336,2.174803,-0.25799915,-1.781988,-0.09876837,0.25758997,1.5562274,3.081659,4.8438215
1.735694,-2.502677,-2.9525702,-0.7702671,2.1602938,-1.6243882,-1.7656578,-0.08191905,0.24901636,1.6847147,2.9387038,4.72897
1.7457036,-2.4951787,-2.9454057,-0.76464266,2.1908805,-0.8898144,-1.7816638,-0.10272021,0.23851568,1.5882431,3.0615687,4.820048
1.7284406,-2.5116649,-2.937898,-0.7598357,2.1289096,-3.7463145,-1.7776829,-0.086933605,0.22874416,1.6854603,2.9825246,4.6705184
1.7468394,-2.4967706,-2.9346597,-0.78480273,2.0531588,0.73173,-1.7871475,-0.10027498,0.2185525,1.5692644,2.9594643,4.9369106
1.7502357,-2.4939744,-2.9320455,-0.769982,2.1573477,0.681615,-1.7759081,-0.07885993,0.21472919,1.6287519,3.030683,4.9610467
1.7486985,-2.5091195,-2.9302769,-0.7814184,2.0837362,-4.208157,-1.7794591,-0.0973375,0.2303885,1.6493027,3.0295277,4.7269325
1.7495948,-2.5021217,-2.9427469,-0.7612563,2.2052805,-1.1731544,-1.7773852,-0.096498355,0.23066631,1.6434143,2.9955118,4.7476215
1.7364702,-2.5156746,-2.9367878,-0.7770205,2.1068428,-1.2027137,-1.7860496,-0.08629281,0.25524616,1.6680719,2.9887881,4.7192354
1.740514,-2.5005403,-2.937993,-0.7619328,2.1286588,-0.6518824,-1.7839442,-0.08643439,0.22991118,1.6897553,2.9665267,4.786722
1.7463603,-2.5027416,-2.9315233,-0.7637782,2.1599252,-0.37866634,-1.7819655,-0.09221496,0.23830147,1.6125005,3.0225265,4.7920985
1.7412995,-2.5065925,-2.9403841,-0.77053,2.2232652,-1.5826153,-1.7935865,-0.0854617,0.23489071,1.6642306,3.135436,4.74949
1.7430122,-2.507415,-2.9471788,-0.76913875,2.1939394,-2.1375575,-1.7832252,-0.09649655,0.26438206,1.5906675,3.0226948,4.7529445
1.758943,-2.499329,-2.923725,-0.76765054,2.1680346,-3.6359062,-1.7784485,-0.0891379,0.23190343,1.6327196,3.0181851,4.6973114
1.7455741,-2.5089073,-2.9468021,-0.7526257,2.1145186,-0.34133852,-1.7731093,-0.08085121,0.21651456,1.6017401,3.0675416,4.846566
1.7396646,-2.5231185,-2.9888365,-0.7232283,2.036165,-1.4857435,-1.7799392,-0.08125316,0.18024042,1.5885795,2.9063313,4.72632
1.7351664,-2.5044448,-2.9467742,-0.7533905,2.1308775,-6.346388,-1.7844721,-0.08923433,0.2446948,1.610422,3.0280645,4.6289864
1.7290627,-2.5045736,-2.9475923,-0.77312696,2.141908,-2.7601237,-1.778029,-0.09061514,0.19754669,1.7318279,3.0287805,4.699063
1.7407863,-2.4985726,-2.9349217,-0.77319485,2.1433458,-1.1568966,-1.7830863,-0.085566156,0.23984946,1.6481866,2.9733386,4.776115
1.731518,-2.5089433,-2.9397984,-0.7617777,2.1512742,-3.109384,-1.7831024,-0.09909632,0.22463794,1.6838793,2.964248,4.701602
1.7314055,-2.5240738,-2.9343452,-0.75814074,2.0493526,-4.8982096,-1.7733551,-0.08233735,0.24277839,1.7294271,2.9271092,4.7197366
1.7417789,-2.5014577,-2.9517195,-0.77762455,2.195012,-4.596787,-1.7853901,-0.096519336,0.26374453,1.6345663,3.10342,4.7194266
1.7274195,-2.5032327,-2.9255276,-0.7734302,2.1898355,0.3752935,-1.7839684,-0.09802771,0.21970135,1.7500234,3.057142,4.9097342
1.7455677,-2.496467,-2.9774382,-0.7419396,2.1728451,-3.3985846,-1.7774942,-0.10432434,0.21357568,1.5073153,3.0430846,4.966099
1.732628,-2.5173974,-2.9396198,-0.7677868,2.1698864,-0.86949193,-1.7879151,-0.082672685,0.24066272,1.6475083,3.054982,4.814365
1.7594521,-2.5237708,-2.9388947,-0.7982907,2.1390064,-2.8262215,-1.7782825,-0.08452728,0.17837413,1.637013,2.8931327,4.692963
1.7438866,-2.5123696,-2.9302135,-0.76364654,2.1326663,0.5475842,-1.7818981,-0.081572466,0.24677432,1.6397867,3.0494475,4.973957
1.7287402,-2.5094087,-2.9405615,-0.76325685,2.1849685,-3.014175,-1.7861784,-0.07891422,0.23234451,1.6488119,3.1020207,4.670102
1.741958,-2.5108716,-2.9387374,-0.7734329,2.237286,-0.7447693,-1.7817016,-0.0862795,0.22687386,1.6643181,3.0453432,4.729319
1.7451459,-2.482507,-2.952748,-0.7619584,2.142253,-2.1431646,-1.7839202,-0.0785337,0.23031464,1.6420883,3.0018492,4.7277255
1.7056217,-2.5229871,-2.9406993,-0.82069486,2.1458478,-1.4168423,-1.776831,-0.093824096,0.1887997,1.5575883,3.0239937,4.6251493
1.7418386,-2.5108898,-2.9354758,-0.74902445,2.2129698,-1.0520469,-1.786712,-0.0846927,0.22384845,1.6006567,3.0785987,4.712426
1.74974,-2.4988647,-2.9409904,-0.76846546,2.1564856,-1.363154,-1.7826699,-0.094255544,0.2350313,1.7512454,2.963832,4.75579
1.7374631,-2.4982603,-2.9389703,-0.7421222,2.1973898,-1.4030055,-1.7704909,-0.08724042,0.2223477,1.6272242,3.120849,4.717906
1.7321026,-2.5170841,-2.9328432,-0.794284,2.1219738,-2.6145027,-1.7734107,-0.09403656,0.22042017,1.618481,3.0612302,4.657392
1.7502922,-2.5005999,-2.9449522,-0.7730337,2.181749,-2.2139235,-1.7801181,-0.0880216,0.23244722,1.5851854,3.0300426,4.648775
1.734746,-2.5074806,-2.9418573,-0.7719398,2.1555746,-0.68671584,-1.790745,-0.09216735,0.23289901,1.6941319,3.0297072,4.7445245
1.7391284,-2.5057194,-2.9434042,-0.7837,2.0894449,-0.42236328,-1.785001,-0.08759309,0.22000818,1.6242816,2.9337091,4.737576
1.7343856,-2.5127947,-2.988133,-0.7439302,2.166306,-4.88289,-1.7800012,-0.08346504,0.17676286,1.5601983,2.900493,4.5706286
1.7429199,-2.509646,-2.9377248,-0.76742464,2.098671,-0.38460946,-1.7830404,-0.09146849,0.22848411,1.5972412,3.0226705,4.822159
1.7380109,-2.5049531,-2.9558737,-0.7796047,2.1287403,-2.5404236,-1.7777994,-0.095936134,0.250037,1.6061345,2.9529796,4.6789513
1.7533475,-2.5060513,-2.9308321,-0.7819877,2.1977174,0.36509287,-1.7794281,-0.096169,0.19606443,1.6673667,3.0909626,4.888351
1.7473685,-2.5063791,-2.9461951,-0.76335883,2.1791928,-1.2195389,-1.7783232,-0.08290868,0.24690957,1.6310174,3.0524056,4.7367673
1.7508258,-2.4986043,-2.9216652,-0.7729461,2.2033384,-4.6246963,-1.7815561,-0.09212504,0.23385932,1.6008278,3.0369847,4.7143054
1.7227753,-2.5133798,-2.9390535,-0.7593689,2.1760805,-0.38357118,-1.7848208,-0.09042149,0.22244336,1.578261,3.0469952,4.841619
1.7426724,-2.5032356,-2.9426212,-0.7727494,2.1048594,-2.7722585,-1.7927892,-0.08868572,0.251126,1.6442125,2.9927042,4.733722
1.7423819,-2.486258,-2.9465039,-0.7762629,2.1917646,-1.8983026,-1.7925326,-0.08694689,0.24882524,1.672741,3.030974,4.6833005
1.7344831,-2.5103455,-2.9379656,-0.7674184,2.1757503,0.39073604,-1.7861472,-0.10053746,0.2380547,1.6335089,3.095879,4.9530797
1.7299625,-2.52232,-2.9411862,-0.77748513,2.145889,0.47817367,-1.7870051,-0.080894604,0.24781337,1.6441317,3.0152233,4.90343
1.7403574,-2.5177464,-2.9434204,-0.78403914,2.2220922,0.52110904,-1.7738394,-0.083448075,0.21389739,1.584965,3.0984683,4.9771504
1.7361802,-2.518915,-2.9467742,-0.7817474,2.1566772,-1.3525659,-1.7844137,-0.098582275,0.23589025,1.5989503,3.0138476,4.675943
1.7526724,-2.516031,-2.943241,-0.7677575,2.2071345,-1.7110155,-1.7767737,-0.09056168,0.24238949,1.667724,3.0691202,4.7565417
1.7295845,-2.51378,-2.9488204,-0.76762253,2.1935964,0.19596045,-1.7870128,-0.09007798,0.23306642,1.6825941,3.0227005,4.8916855
1.724754,-2.5081782,-2.9557009,-0.7714833,2.1665428,-1.2245358,-1.7754693,-0.101405576,0.15793806,1.5830452,2.9401875,4.7404685
1.7282518,-2.5227413,-2.935705,-0.7651238,2.1706438,-1.012015,-1.7811196,-0.09057578,0.24504963,1.6044706,3.0688453,4.7168145
1.7528813,-2.505648,-2.936769,-0.7690817,2.2252526,-2.4853513,-1.7719653,-0.09191941,0.22827065,1.674676,3.0649638,4.703536
