"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12"
0.109384981505372,0.175060943499605,0.284440499631296,0.394798537861658,0.417696833267593,0.328444106962086,98.8134944878009,1227.45202563382,1442.42882761052,1905.88382410871,1297.11928721603,406.401927721474
0.0681595415775631,0.106413853618935,0.166834492406298,0.236933387170069,0.291182502546096,0.265817120015544,98.6485137662553,1242.97668366624,1475.52268956357,1673.9260857684,847.438286932663,223.995345147217
0.0699809669023437,0.108944036053979,0.179250823930229,0.202020236240721,0.253618839374933,0.213676461296097,98.7396813587662,1242.17854662033,1450.9132920813,1790.25720957187,1439.72844274099,435.97671891778
0.0883395228846094,0.139609238348556,0.214752425509582,0.309703171414544,0.391817905380919,0.312589082652769,98.9994102490254,1244.23568552243,1479.72604148733,1893.4039437126,1515.22815282639,488.878757448237
0.0601661772729384,0.0920297236139887,0.145136008806218,0.199600868324567,0.242180704481558,0.197097892416306,98.1707256125764,1237.44181977134,1457.20004275022,1841.27105370975,1197.3719728512,366.680438765618
0.107178661772949,0.165176289237309,0.271426946370673,0.43756758862843,0.60290282483855,0.499634622251299,98.622532188433,1234.77460766035,1457.839869624,1772.94260216628,2126.57103599312,677.169333835698
0.114990443865759,0.179600566993272,0.265361412472033,0.458651013605245,0.492490991545374,0.360115721607027,98.5093086814973,1227.37790731562,1458.31711370225,1909.1978362561,932.553829837775,302.408137922925
0.146572952241564,0.21754408078998,0.325145697605735,0.683239623509744,0.572960017011546,0.458341264989592,99.0045514367501,1231.77031053274,1412.51896273936,1987.51721084962,1176.44909432367,341.889377556606
0.115767981577518,0.180370035322812,0.285435753279692,0.4823847458199,0.533760552233455,0.439079601801947,99.2065251960265,1232.41339903829,1466.13843498446,1857.15941219343,1591.79117908646,491.159592074039
0.0949091008514675,0.148855732525026,0.229801873596342,0.347921458150599,0.395869797472105,0.325015979909965,99.0291958057803,1243.04631159173,1490.12848990816,1879.55774233223,1475.96895588489,463.029541433943
0.102697537278145,0.156957244395477,0.246936524056213,0.430572768588148,0.456324457394455,0.372213332861573,97.9569030465445,1226.30581693792,1476.25905006198,1850.50618973777,1436.74177695717,440.785415179087
0.115207213221132,0.177916636341809,0.274428367852963,0.471143794832186,0.445244214647289,0.351762359841005,98.7392769110136,1237.65777910098,1503.940543582,1912.87305824384,1196.42415128311,364.93086392595
0.0898966580239193,0.137756894974374,0.212562508153962,0.308179843803612,0.331987358858547,0.265045683551543,98.2110149976365,1231.0818990947,1488.20806915956,1866.39028715879,1305.9900115632,469.366428617994
0.0968766368514853,0.150237179011274,0.221690640612599,0.407114841746463,0.398481835031425,0.333666663530807,99.3237194343129,1228.82634405255,1585.31302830881,2045.45203297216,1208.89967824289,356.292124115385
0.120620479348312,0.188417756859646,0.294768402274659,0.503159760226229,0.53517035064938,0.43737035782889,98.4476414262973,1225.67426808185,1463.99053446497,1874.10146817589,1345.70870471112,408.584100504155
0.105499611900522,0.161730853016122,0.252772979785193,0.44322758194098,0.470007753415539,0.372432848552246,100.061818680196,1238.1628833597,1459.84887909839,1871.44889366036,1458.35562176755,464.50635273182
0.0805392809530069,0.130116548747661,0.191218075392529,0.268625214723064,0.409567315581073,0.33448134231507,98.3275460109114,1234.04630835913,1444.57914475506,1770.9863412437,1920.96881451833,620.442002931614
0.0758209419497779,0.121801618923711,0.194968549693403,0.2378847470515,0.385214521197254,0.337569345144729,99.2057258876367,1237.32296306408,1477.68825169306,1686.74134799147,1448.79480797803,551.483299417854
0.0926067272875624,0.143300633994656,0.218923613694363,0.369288791251242,0.413351346257014,0.331445023090456,99.4034556344848,1224.391641938,1443.08520935058,1783.07817715576,1161.14754659553,358.174430782184
0.135891351845863,0.215828992741867,0.376540680852278,0.523487214373592,0.55393731553826,0.413062911274767,98.4708895486674,1249.40108706005,1440.14692759657,1796.81409029313,814.772892940754,252.1118654432
0.151975888943667,0.238894769539552,0.369825440230684,0.737876212070514,0.750855135257653,0.593058223601363,98.0501353705273,1232.68111850522,1514.1659053037,2051.78243145696,954.655235176087,339.043524719187
0.0941549642681417,0.145521737689952,0.241654382761499,0.369807261738731,0.416925393357026,0.336503640364538,98.5276004846484,1231.25010628857,1457.96647236918,1836.66376106841,1745.52570183388,555.740254095542
0.128996143437678,0.199311849750837,0.31136134393242,0.517899695076554,0.508528642726356,0.418638404753862,98.8476967263446,1227.52740386697,1490.89772526149,1906.5694980253,1470.60166792166,467.485682263169
0.110879173025944,0.170603642007672,0.266993848266639,0.446686509229839,0.472880924465458,0.370716449103001,98.5085126927057,1231.79345762034,1490.83280858511,1862.52292052348,1502.17336622035,483.369630884493
0.115130622938957,0.174402631973815,0.271277105389579,0.489325333006995,0.52408610776115,0.42638075845429,98.1313505992897,1238.64442134572,1439.25786260693,1828.58157233848,1567.21410457377,487.475624405558
0.0934553577500159,0.1407558785868,0.235369793040274,0.321376046935448,0.330716525032339,0.258902098130549,99.9652507601634,1240.66934485551,1442.15065453053,1859.56573779597,1411.52360124894,447.932171568135
0.120219623364828,0.190746190565041,0.322493647191585,0.411493489638972,0.488556277567033,0.410238937567957,98.6549446757664,1242.22002343608,1469.72103826823,1784.41820753979,1445.09427433766,437.198565429005
0.0903777110214216,0.141305217778611,0.217631408573616,0.335295980694814,0.427705762537877,0.357657697713356,98.7871117405331,1241.25099559217,1429.48760381247,1881.0535321481,1465.58704486781,446.452889526255
0.105791367448794,0.166499202944525,0.279072752188515,0.418089379825732,0.438434150734882,0.340777741187327,99.6302423500874,1223.31661521659,1451.35599109693,1909.89624164142,1086.75496805529,335.339442567439
0.0793988674714975,0.130320439981082,0.226442495369008,0.211940132141535,0.267530885370842,0.202187550682384,98.4178817294808,1220.86194048686,1458.2087417348,1844.58384592224,905.530103601618,289.793707813944
0.0661518479022117,0.102232637258461,0.157033888035172,0.231720858785782,0.274158562562049,0.233272877036185,98.9686458470712,1239.86403777928,1450.81974550728,2163.45173037237,1209.59206612928,346.185875866838
0.114511824755917,0.176450622657618,0.275196169998334,0.481357337046232,0.475179096918061,0.377357867598305,99.3333499084496,1234.52677366989,1473.43178987853,1883.78982484099,1408.03940730168,438.28561904713
0.127609266773954,0.200216081786562,0.323419581992314,0.481484107572773,0.534089053444488,0.425966335472803,97.3047809863183,1213.24587009179,1436.64559533294,1856.0880990334,1458.62617028279,460.48558310401
0.0978106570456095,0.147722304356599,0.211193256546353,0.400622073718505,0.43979624501741,0.366424391386362,98.5311949197204,1239.17312617837,1437.59831228025,1530.13723701239,687.881518396016,191.473219672985
0.119502285701589,0.191162571084341,0.307296143990268,0.440503132493328,0.40830529332981,0.328739216712436,98.8213422663742,1225.1922457412,1453.14972637445,1815.97562367437,1115.97319168772,329.925719014488
