"source","p1","p2","p3","p4","p5","p6","N1","N2","N3","N4","N5","N6"
"npe",0.112462948043452,0.172889490995348,0.271924325934216,0.433236322772577,0.473230797148977,0.377743851513472,98.5590893849228,1241.85374354172,1465.60793517468,1793.67787631999,1580.68423378946,505.07401800357
"npe",0.109329308287392,0.171390579416028,0.266920445942627,0.427741079560657,0.477409221770842,0.372380020284635,99.4090811483401,1259.91568308335,1437.61911098324,1844.25886116065,1474.12727060068,483.199251400186
"npe",0.108496478949864,0.173788340782568,0.272594861906813,0.430287172232237,0.475505013010712,0.385988669853626,98.7656318447073,1252.95748813237,1474.35950711648,1851.59330378541,1638.14130645682,515.982794584273
"npe",0.108806876856071,0.171092255893436,0.267833917335943,0.430450422643115,0.48056439352724,0.38602950639244,98.6390498379176,1236.04863443007,1475.16198704818,1758.8478001349,1530.85099798043,485.947329519664
"npe",0.114387137279515,0.179725313353814,0.277165800286978,0.442509123920516,0.498817174384138,0.416727515140656,98.3946423509459,1253.73679940764,1473.16862450401,1803.6687595132,1625.85726923995,565.159210148037
"npe",0.110998152636352,0.175080785258045,0.271806023903285,0.433260237197197,0.484046508867563,0.387242513307152,99.3010411820334,1247.98617104493,1463.57872976847,1790.95317135883,1586.66871395004,508.753545621719
"npe",0.109234772693968,0.171450899067242,0.270091507715913,0.432292364069292,0.484042108558822,0.381700545397542,98.2208035234968,1258.03759049097,1461.87767474571,1816.48434619415,1569.67624131394,507.353738293876
"npe",0.1158595474927,0.179509703346121,0.281503397210236,0.449580993522922,0.501404003614566,0.403035074991294,97.7925490402979,1244.1601348685,1455.13354375606,1737.64535144087,1592.74938816201,522.11192977276
"npe",0.11194173951771,0.174267837563647,0.272601866471243,0.435007615716024,0.494325849746503,0.4024155151412,97.7968602907293,1251.93577287579,1456.63442391579,1855.03715199965,1700.95458759857,546.258362390138
"npe",0.105162423334725,0.167067081873459,0.262956221813323,0.424939947766869,0.47791291137446,0.380771400633405,98.0314794394605,1245.77291831059,1464.06804011093,1776.10095858779,1647.10079766801,530.959066274882
"npe",0.110939081917486,0.171037750186177,0.266691336915361,0.428957795791764,0.479221399862992,0.384051685562982,99.5597266580005,1260.1090387324,1483.88751124928,1771.89045546883,1563.19702676889,503.672092064427
"npe",0.113334515471462,0.176830536544804,0.27281929545745,0.433304134477992,0.480710333380355,0.38640867646671,98.840453850681,1225.3910657085,1458.41283528441,1792.60906439221,1558.32274578807,496.761536954205
"npe",0.111509757479384,0.17588239811425,0.272041625777838,0.448880243736643,0.491605289830665,0.357465175724206,98.6121011263746,1248.23797306965,1395.80265432565,1662.67834625561,1398.93238962144,490.434420265004
"npe",0.110389068927402,0.172048184261513,0.267027572550014,0.433661601119147,0.488686364937811,0.388509208089985,97.614936630403,1252.430131556,1452.24073373542,1800.07786537283,1653.2781229117,532.304335881448
"npe",0.111165661483695,0.174041292445104,0.271027225703254,0.435578835525016,0.487171323064767,0.396718521877496,99.1519609254995,1244.81004614424,1446.65550469154,1796.51430980951,1655.86100369516,522.64625987794
"npe",0.112601899873815,0.175643942346588,0.272985375614836,0.435481952884029,0.484498329706093,0.384563068352295,97.3164476708198,1247.78634711655,1464.41177953695,1764.71429016674,1574.11779620736,512.623453810441
"npe",0.107766910200161,0.171007863319395,0.265466432841913,0.426413221725897,0.470258610844937,0.392911716675378,99.2053542300251,1243.95531136548,1458.7342655129,1775.98476919624,1569.9007472927,546.811119247691
"npe",0.112340837487262,0.175469438892879,0.274158610129277,0.439361421240584,0.489653467911822,0.3938035878501,97.8821822260828,1259.72160239968,1487.33537265641,1889.02529727245,1659.65730415059,536.035201183143
"npe",0.11143293504927,0.174846261190061,0.270543537059998,0.43221373947027,0.482079972285401,0.384851139670543,98.509524042237,1244.52892407972,1463.9852490292,1792.35976190524,1589.25607169563,513.844562906902
"npe",0.113726240645419,0.175831703913936,0.273406250685132,0.43340264593676,0.491804872320768,0.402628562223142,97.8032199197789,1236.34413218399,1462.25710302044,1797.60843368637,1634.13594486573,528.096344124038
"npe",0.111142881473145,0.170598958604001,0.266659858103866,0.42927115712225,0.482696809944342,0.385979676399558,98.8127327688634,1220.19083336413,1431.95635340463,1836.98910007258,1607.24832646745,512.697950042279
"npe",0.11239840359966,0.176869953624707,0.280912830419733,0.436022895536641,0.481828980387851,0.394285179138446,99.2690462100015,1252.40080295088,1445.07388866099,1740.08124966346,1542.64959316086,489.308026813742
"npe",0.111035618926527,0.174468952336609,0.275088070733255,0.440945130999297,0.481818091486576,0.385143764331978,99.0636151076953,1255.61189816006,1466.82867599585,1743.39139967404,1512.00033020569,500.846021716667
"npe",0.112169398002131,0.175241539469047,0.275196380790852,0.436803427243944,0.500165447860091,0.406581889708852,98.7250083939373,1246.3349587454,1450.15943009146,1802.83942631955,1653.17700456621,534.785009432957
"npe",0.114972227631475,0.182274391667364,0.281821733172122,0.445509749591367,0.49372092803899,0.395998878708765,97.2473090491015,1242.18548651973,1468.46122753465,1824.57164324601,1599.98933412202,519.861513766423
"npe",0.112202492659251,0.172471073868225,0.269744189328193,0.432759447451866,0.480150756099454,0.385363895967404,97.3546816498435,1240.37822355859,1450.77347986272,1820.2235951258,1601.5782964108,513.74332142703
"npe",0.108832476954546,0.169425178556071,0.261897136551197,0.426014729613955,0.470225731621686,0.370079233937777,98.1682440175135,1247.41385968221,1459.25710560581,1790.60132383227,1596.18726604594,517.478710203981
"npe",0.108920094489768,0.169833652844392,0.265484731381876,0.42706186602602,0.477982046478722,0.382059137898655,98.07881745819,1238.35256571574,1465.29075559534,1885.43596381123,1631.50271937837,523.060360730426
"npe",0.107531532095239,0.167772146447246,0.26592516136288,0.428133251633966,0.475806578166015,0.38568020168547,98.6497686635448,1238.11527637571,1439.59895334459,1760.03035862751,1555.46233400323,499.035214352285
"npe",0.110756065190631,0.169826075891234,0.26990668721149,0.432891757678016,0.48347266156035,0.384931794913265,99.0473018351415,1253.92306451617,1452.25917329684,1795.76448325591,1519.97159108026,488.557042237744
"npe",0.110556747477696,0.17630151788551,0.273612598393822,0.438163667590804,0.483831409553656,0.393462291069822,98.5172584607383,1259.00772733732,1473.77838424287,1813.66443771012,1606.4359682685,541.954280668527
"npe",0.11389177091992,0.177283622748344,0.27309711671106,0.435106448965994,0.488493835310767,0.392613348712432,97.4054006131041,1260.84087330383,1454.15230150129,1830.02005999293,1667.90619406082,531.600943462103
"npe",0.110482371479305,0.170831778313196,0.268182351433785,0.428223641692359,0.477617056619465,0.38283821236125,98.4610115627484,1243.32379039462,1481.33782960156,1782.51157886445,1620.56732477998,524.230534975415
"npe",0.107462632610297,0.169159410552772,0.265189669215988,0.432505689305709,0.478110293370774,0.380793537106671,98.5909574265315,1240.80182253067,1448.82685653647,1770.37967881657,1564.72716879857,505.967642828778
"npe",0.112579020519409,0.176671108904489,0.284145319961355,0.441121862188379,0.49554814962324,0.385824480109475,98.8630413619433,1258.71445465002,1454.69801422176,1693.7035704077,1515.859629235,499.304893801744
"npe",0.112566342662306,0.176297499783026,0.275254915347331,0.436236983312146,0.492023884835555,0.395627556483277,98.5538988863838,1246.46432589391,1465.86394722046,1814.8940629948,1599.91407094177,509.815835280881
"npe",0.110828698632568,0.176074369134059,0.272742906818461,0.434752751365287,0.499304842803621,0.393079573157542,98.3656587090682,1238.89405714967,1457.12528643576,1703.22825759891,1600.71773772235,529.954464047971
"npe",0.112481690026825,0.176680424276775,0.276065170941135,0.436443469555974,0.496112256539168,0.397474558671866,98.4618347670498,1256.6053899816,1446.23083778815,1827.78267051236,1583.78749114901,512.421277968477
"npe",0.107027777171348,0.169164349430568,0.26495936758326,0.42447171873448,0.483623079263386,0.394817795502702,99.670012841881,1261.60586279792,1450.8682805229,1886.88910192018,1680.97522823544,544.006125889933
"npe",0.108255728654075,0.173325617530637,0.267694540662646,0.428397276006002,0.471956994426468,0.376363763129125,98.9507886426158,1256.37434629355,1466.57866368958,1777.5489015319,1550.26858559572,503.254381544313
"npe",0.110554550427772,0.173600331586786,0.272052093715893,0.433211601759937,0.483691276674355,0.386910277769527,98.4015686162973,1239.86909291728,1463.94875953658,1841.43980419327,1612.58176866696,515.446451192069
"npe",0.112900676523312,0.176558493491535,0.278026871634467,0.443496459580842,0.492184996299037,0.394204220535034,99.4248774179525,1250.83646175641,1479.44433379553,1827.11313667656,1565.79885741421,497.950710863451
"npe",0.111690364693832,0.172978590014203,0.26935204590212,0.433156812887092,0.486906795537236,0.392307618063192,98.6988835950536,1248.78651186701,1464.54248786683,1874.84908356846,1643.0555729262,522.557505650586
"npe",0.11033793061043,0.173155660408742,0.273219266872198,0.437142969515283,0.478558891450773,0.387595078864169,98.6470557553265,1251.49144403695,1466.58102576396,1762.81668417631,1569.74373971105,513.785376820618
"npe",0.110366513812059,0.173210419901066,0.268311974570203,0.431948013948692,0.480001848853494,0.381049203048202,99.2461608167449,1236.00996803476,1435.7263852274,1736.41951962904,1552.64121092253,502.272594486217
"npe",0.112471789019194,0.175892231675813,0.270748631927811,0.43438178954372,0.49262369564681,0.39898826026552,97.8680486342375,1239.89908093856,1470.30594159699,1836.27913389783,1659.18722705138,532.028204989579
"npe",0.112552144869351,0.174879855442304,0.271703861258766,0.433345776564619,0.494707904406855,0.405363194098793,97.8970214189577,1256.30163503958,1468.8073160465,1776.90157888604,1632.39620101229,539.119662002229
"npe",0.111083267115665,0.175129082792953,0.270284042171467,0.4415393040643,0.496100175764456,0.43867129083995,98.140316093545,1244.77364898763,1456.27736991258,1701.013699448,1609.57324233046,605.785010479565
"npe",0.11392560297407,0.175485252696562,0.274864308436961,0.435546872836402,0.497102644868331,0.403474694012659,98.8054413530822,1258.51747720171,1476.40372597455,1843.50242726753,1624.22032344714,515.220293011678
"npe",0.107886754680685,0.170022317370834,0.263254975431693,0.429124051060586,0.479384005713955,0.3906156727026,98.9333102767343,1244.01919321797,1460.44035472873,1766.06496278044,1621.28310192414,527.160665929099
"npe",0.111589900634979,0.17259064834933,0.266617386404361,0.429729936657477,0.485027188201344,0.385279729913713,97.7312948152558,1246.85189222126,1474.0413810751,1855.70503573044,1618.55017435188,521.61575159579
"npe",0.106193711603931,0.166944829597561,0.263076938657741,0.427250856912441,0.470931717401078,0.37942556685897,98.4855521257527,1250.23449236953,1469.64364933668,1813.67039856022,1618.7721499888,511.697756530195
"npe",0.117221792425051,0.182276488731663,0.28036488241365,0.441619243946973,0.489913617261555,0.391978851949709,97.9900469843311,1244.5977481674,1455.2738029239,1808.48189639909,1583.65566210813,505.58555457508
"npe",0.109361895175826,0.172580408208043,0.269948023118318,0.434267302577491,0.482327480591584,0.390414147040072,98.591152919756,1255.0719061597,1483.96853394164,1911.55428739044,1662.29152023433,526.533652186722
"npe",0.10961319320779,0.175193554863672,0.273745124562067,0.435747123194466,0.488020435375062,0.410283022998337,99.626071467618,1259.04756764127,1469.56926685503,1732.25026087739,1567.78896957938,572.148224155909
"npe",0.109919974087982,0.170458121734385,0.269897518865134,0.430664580050247,0.499644708371593,0.403519729030955,98.602590769584,1239.53695800238,1441.75284058102,1847.53369475195,1663.96365613731,529.646664632236
