theta1,theta2,theta3,theta4,theta5,theta6,theta7,theta8,theta9,theta10,theta11,theta12
1.59829,-2.657977,-3.4987621,-0.42027777,0.21297243,-6.012366,-1.7660502,-0.09573801,0.27109352,1.8129953,0.90080726,4.934918
1.7301059,-2.457787,-2.539576,-2.1512897,-0.034891486,-4.894866,-1.7786558,-0.10719544,0.006437969,1.7314923,-11.509213,3.7000437
1.5194354,-2.6234574,-2.8987515,-0.54854375,-0.07186764,-6.255251,-1.7623432,-0.11066144,0.2830742,1.9392316,-1.913182,4.22081
1.7091691,-2.5373662,-3.1423767,-1.2798878,-0.6457928,-5.48368,-1.7747489,-0.0887937,-0.03820173,1.6388648,-4.594706,4.272524
1.6199458,-2.6052926,-3.6160624,-1.127487,-0.36652476,-4.166452,-1.7743627,-0.10178351,0.3777707,2.1207516,-0.12864089,4.756641
1.5591354,-2.5243437,-3.325839,0.61522084,0.06443813,-3.203979,-1.7754625,-0.113841936,-0.33332434,2.314746,-1.0419704,4.629468
1.6458127,-2.5769722,-4.0188007,-0.47361383,-0.48634765,-3.9958656,-1.7688352,-0.12748945,-0.089608155,1.7641764,-0.5030174,4.5383167
1.6299169,-2.7686694,-3.408673,-1.538435,2.407607,-1.994149,-1.7831334,-0.10431474,0.40049654,1.5886885,3.2516832,4.9909544
1.6470932,-2.628374,-3.4171069,-0.8838695,1.3630728,-7.1858,-1.7685035,-0.10712939,-0.108790115,2.0461,1.079354,3.8942895
1.5081282,-2.6019075,-3.841028,0.66715926,0.26720414,-2.7157512,-1.7705822,-0.101576455,0.11827539,1.8569216,1.8124651,4.3379664
1.6649519,-2.6383526,-3.4473405,-1.5653447,1.0789624,-2.9329407,-1.7721571,-0.12975492,0.0081656305,1.5335894,2.3575282,4.675939
1.7028642,-2.5620043,-2.9105992,-0.29784438,-0.69537425,-0.7020707,-1.7735667,-0.108696714,0.23483494,1.5462761,0.034309838,4.7677574
1.6829423,-2.4259474,-3.2027366,-2.0441873,-0.27215487,-4.7023315,-1.7802132,-0.099478625,0.26655602,1.5379411,-10.953798,-1.383621
1.5631297,-2.6224422,-3.5285883,-0.29102004,-1.15594,-5.383615,-1.7722764,-0.098915935,-0.621636,2.0202332,1.9883201,4.040831
1.5496321,-2.515192,-2.3374655,-0.4367123,-0.17954898,1.4302361,-1.7830672,-0.098339625,-0.09469977,2.207184,-0.7505208,5.500176
1.6590669,-2.4947307,-2.8375025,-2.7789009,1.8397619,-4.4547677,-1.7792184,-0.09730176,0.01155684,1.5055295,2.1987412,3.97927
1.5668956,-2.7154882,-2.883672,-0.7252719,-0.17599034,-1.5411355,-1.7502533,-0.10309219,0.36089888,1.9099945,-2.0265226,4.819264
1.5814209,-2.5949702,-3.7157552,-1.0916692,1.6211714,-0.0925829,-1.8025409,-0.116676316,0.27938858,1.5813617,2.1629353,4.8672085
1.657852,-2.5437548,-2.862125,-0.26018557,-0.4063331,0.7942645,-1.7619349,-0.10988079,0.38608325,1.296487,0.48937258,4.842381
1.5688754,-2.5316508,-3.6916926,0.25782767,-1.327695,-3.059406,-1.778636,-0.089110814,0.009275508,2.0797145,-5.9697523,4.9024873
1.6424804,-2.6647804,-3.02916,-1.7946695,0.34101975,-4.8230147,-1.7805706,-0.108846314,0.07277181,1.9641105,1.5896788,4.0718765
1.7105237,-2.642618,-3.5819871,0.8184583,1.0801492,-13.004085,-1.779843,-0.10092408,0.11605248,1.9132199,2.154877,0.8540094
1.5020672,-2.760335,-3.0396087,1.2413229,-0.35915995,-5.125498,-1.7668567,-0.10989059,0.22794953,2.164138,-0.77887887,5.140385
1.6546781,-2.7093759,-2.8591833,-2.9097521,1.374406,0.4262254,-1.7809558,-0.093802534,-0.011090866,1.4516013,3.0372264,5.1106253
