"age_group","p_npe_median","p_npe_lo","p_npe_hi","p_mcmc_median","p_mcmc_lo","p_mcmc_hi","p_la_hat","p_la_lo","p_la_hi","p_obs_lo","p_obs_hi","N_npe_median","N_npe_lo","N_npe_hi","N_mcmc_median","N_mcmc_lo","N_mcmc_hi","N_la_hat","N_la_lo","N_la_hi","N_obs_lo","N_obs_hi","p_overlap_npe_obs","p_overlap_mcmc_obs","p_overlap_npe_mcmc","N_overlap_npe_obs","N_overlap_mcmc_obs","N_overlap_npe_mcmc","n_npe_draws","n_mcmc_draws"
"<20",0.113207721570627,0.11191705085258,0.114475974949539,0.107014011715667,0.062436091837656,0.172558248529843,0.111875948993722,0.0652901554794042,0.194901056601689,0.0604892034858865,0.184039743924767,99.3116657070191,98.7361450526608,99.8565416066783,99.0183446482564,81.69802254133,118.695664049389,99.5188414828321,81.9186826801807,121.330763878253,81.3795043246405,120.435729872496,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,30000,1250
"20-29",0.176262660694395,0.174451358928695,0.178058511372078,0.172982571482433,0.153456638267957,0.19334136159958,0.172582191152331,0.155345899704327,0.198839448830537,0.152591037813342,0.194588375392617,1244.182178567,1239.11253822469,1249.28245357115,1251.23880837127,1031.72453056263,1529.97430214704,1257.58961271772,1038.08043472136,1525.54732614503,1022.5869028268,1513.35401981197,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,30000,1250
"30-39",0.272774768780105,0.269888814855965,0.27564489676298,0.268378511999137,0.246759756149107,0.291192984281951,0.268283478734484,0.248970614603623,0.295161710476682,0.246366946606246,0.291695838716589,1468.6810563781,1463.77721664872,1473.66902037011,1472.01167316671,1217.1956135704,1760.942133659,1469.96626259771,1238.46139313987,1789.68714819639,1205.89629135604,1784.63854265607,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,30000,1250
"40-49",0.436945414586881,0.433401025354791,0.440453457706231,0.430606187822571,0.408815392089326,0.453919275429193,0.430297561521635,0.411590503362379,0.46057579138581,0.407709214451291,0.45291201539318,1837.15027686884,1831.57429121299,1842.84495170193,1874.4365284928,1539.48639119977,2295.62527936771,1867.35058903859,1564.21139980585,2264.25111892972,1513.32997436024,2239.61796661883,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,30000,1250
"50-59",0.484088140773643,0.479779820914861,0.488290106865064,0.478302162239807,0.455837532896085,0.500872665471057,0.480519808065886,0.462187634552296,0.512707734178752,0.457963856757478,0.50647288266655,1605.70638319161,1600.25342898542,1610.97649241879,1482.12488139264,1283.21725332381,1704.20417438292,1481.71663082961,1296.26328663748,1749.00081489336,1338.24073778298,1980.49866901437,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,30000,1250
"60+",0.395311365335658,0.391336712238173,0.399399540560816,0.370453322305839,0.331003731655133,0.41053189059909,0.366804101082372,0.335996772346911,0.708344777548046,0.3093180036063,0.401779193754153,455.813272475265,453.832204672516,458.10150542392,440.061185553709,376.662422774255,514.658486025846,447.229556267762,391.105012091958,536.59637345187,336.204214836141,497.557712301523,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,30000,1250
