"p1","p2","p3","p4","p5","p6","N1","N2","N3","N4","N5","N6"
0.195825147544535,0.867316270251457,0.986888712971716,0.836046103517996,0.799250823618398,0.789691486009007,371.915877847136,895.919173083103,4276.58128793228,2919.5711581457,1223.74638987209,274.509269173567
0.00953337866546707,0.721844639570388,0.890873947488812,0.960114213398536,0.910319586709008,0.894726198137606,64861.6597122739,32622.074620821,15194.3697228759,7848.79692500641,3229.37801833392,719.651342596245
0.104623573376528,0.823618463865003,0.926494432099627,0.92851113747494,0.938618682337693,0.954263753290472,10041.4356845831,7172.86465366189,3516.40427581584,1734.7722860192,659.908367115284,144.171377950448
0.0532025714486333,0.594907510129009,0.866442613946444,0.94262057118913,0.911640613087219,0.875190091169647,4191.98404845747,2777.82448960866,1710.13610314275,937.781222880246,383.613843022771,87.8884172207058
0.0201378006740503,0.888142542763156,0.981293628243397,0.979863212970499,0.504697029246321,0.500900021658381,103.414211956114,451.682160397737,685.344134767469,400.030027200122,414.03479639734,106.865171747352
0.000544716674486743,0.99603809795609,0.998341466444513,0.99398834265837,0.975064790363448,0.969283414889156,183.516731765392,170710.882485576,85828.2023778583,37592.5212295864,14044.248725242,3032.02552487822
0.0170237493725671,0.90285037836736,0.946631423270174,0.944368816545437,0.948615893483402,0.94126751680919,80.8242121634943,13252.2148208375,111716.62111147,58113.3510422165,22485.9561925422,4972.86034284111
0.010301017527805,0.998697943813638,0.970751218783128,0.447651065093167,0.684108108121809,0.782100360155548,1.77699544366179,3338.60902802641,6858.85550324892,8404.73920561626,3726.22539892352,850.332416740249
0.0384409377414769,0.372455331889854,0.326285617119217,0.631346716835112,0.643483255753195,0.688165836129299,7.24204454233058,2622.47026065186,2293.27549817114,1395.28107141195,596.490369057826,135.219290958983
0.0294404863283399,0.794735407552657,0.889130383902276,0.962483905789092,0.977272215430818,0.985527257936274,1463.03493997698,1352.76757046318,11322.8734757491,6266.92285061321,2453.38577623905,538.7574565938
0.0360683262351033,0.754469489648814,0.908472944154367,0.992138264817073,0.993341222031823,0.993445293591411,19251.168248958,10935.5913269169,4846.81647907442,101814.853398825,47749.2767784252,10945.2525038331
0.0126443122152835,0.628818734729427,0.896829005638726,0.847962720452859,0.84610280633328,0.902798992997454,58.806716500875,8579.32075451703,7188.229464377,3947.52025160128,1555.68030334407,343.499439881497
0.0415205118558475,0.720463257949026,0.939757270743954,0.975442179805745,0.815156516076573,0.798728601946516,450.079594537049,1518.31863996526,1175.18143715127,549.579554048486,252.668716356015,60.685808306822
0.0463145462284862,0.638279010594424,0.871715710898075,0.908833553181812,0.930657156975334,0.937509547875205,3730.88333461631,1788.09837197775,832.626709097026,473.934707124932,186.358195090662,41.0776202223047
0.000500214249660233,0.788182520605226,0.935768712916868,0.97060029436709,0.95998067940078,0.881964657107002,3954.6323806802,2799.44824474486,2305.7001590639,1086.78012295621,427.275823972555,102.910110453402
0.429433590345677,0.0744748963513815,0.944132926574284,0.847003365786607,0.883838399026372,0.902304878513143,238.623707577334,1557.31821070151,4306.60182933377,9703.31469971451,4439.12707615689,1017.41097256228
0.242071591626804,0.849098704423107,0.946803307454462,0.855638856678735,0.884604284982108,0.931309680819613,1125.43873646869,1010.1279101761,990.896331195128,1527.7200263978,689.875547870326,157.620992294554
0.071823400094309,0.410476150270867,0.758410260925959,0.54803555304991,0.813256933965642,0.882338197384839,7676.32612676665,3705.75665017073,1630.07467749929,1167.05847595122,506.090515704896,114.900623172367
0.0143366749969502,0.678840996935633,0.890819689675184,0.893412997990516,0.938282002163572,0.950158383676732,0.224705033353737,9133.25071104261,5618.65507191155,2834.06311788631,1090.83031442879,238.258737200725
0.204949846109599,0.537225677078898,0.648307444898025,0.769972154954645,0.796064571875606,0.638879526208014,245416.888857023,119336.349390789,59613.9180904147,26511.8883772212,10001.3159030859,4017.79098499733
0.0328548869535207,0.742524403296774,0.838606834267091,0.92905047597028,0.945535753213996,0.942718743566243,741.91887428511,3463.97582400852,3344.69816789706,1692.43962600997,659.115991421385,145.314193333651
0.0471725007587067,0.787167330430629,0.983953701550318,0.784961975384878,0.887010540590068,0.90503976617866,225.207412303039,1143.67467624432,8846.68445358501,6010.38260398772,2779.7992991255,673.259069790384
0.00434516358280035,0.83920177915453,0.908345798297749,0.859035353051464,0.841291770633649,0.827528588715629,450.732621277797,2114.41585516285,1137.78085270239,734.059160463718,298.703164735074,68.7067149008473
0.71147169732935,0.948822340625556,0.961287513816535,0.986795113444098,0.751055332746445,0.854111257866583,162.46749188575,144.292968244833,216.065411903589,154.423544050057,84.8255289647903,20.3587670408393
0.0849972536064763,0.937494266569083,0.977807032058067,0.990917222417303,0.77293597655537,0.739135023061743,242.416966335214,2761.4785590344,2378.81688673043,1123.52000501048,544.772060821845,126.044817388081
0.868586275880844,0.984783015544248,0.994220806732647,0.996648063757862,0.995092906487474,0.59724144285268,97573.0084215058,155486.633887969,74470.6207463057,39481.6032700007,15208.1108950192,7248.80670960851
0.815734529957666,0.968935433473861,0.88359851691583,0.955481812181113,0.961756590341678,0.962744181433212,232.465760405843,243.116577716392,49542.1337575939,26039.6065368788,10164.2893353892,2229.99177315208
0.0440662822180862,0.247675856457634,0.718257371900483,0.872347941686689,0.76853782593817,0.748599218829585,1185106183.00832,573737003.436022,252571290.922542,108431050.718619,47525600.3933997,10759689.1652968
0.179687109153855,0.497590093616811,0.954406738491136,0.937342868175188,0.7135178805701,0.691395655043963,430.619420843465,679.636829533991,1541.31715280444,832.76920282735,492.405463402768,121.179991662244
0.794270972664234,0.78737977021951,0.92411595978661,0.926920681846566,0.94090150047045,0.945288300654153,927.446213932727,2612.056233196,1594.93610255925,82726.3662579233,39023.0891343096,8971.24082039656
0.024090161504155,0.834257713880849,0.924578411989802,0.944771729263624,0.936729408765102,0.926878296562779,178.261355254858,146426.702244278,73937.6857484362,32314.2737953904,12373.0028585382,2717.14462947634
0.106157808261693,0.942372854653099,0.983617379926463,0.972615025883315,0.970126039452074,0.944820744274916,251.248165930423,14698.994234666,8898.93522119104,4278.0221406831,1613.71044104639,358.956845278332
0.0428360635068637,0.8469577449466,0.937709806071166,0.94945858668833,0.931591618449902,0.926600454998175,1826.29136215711,11566.4356085668,8411.43253543817,3898.74901405618,1576.09920399743,350.629429790361
0.118471253732514,0.617259801032185,0.964501275433258,0.946961129360871,0.928769410014459,0.82352343515575,385.668533058956,304.798813981,3184.09830349639,2774.83106685541,1485.71538226563,396.835593376672
0.0998836425715142,0.857423770071156,0.935907073701113,0.748990661184096,0.724045467468057,0.712827800015089,29740.819692129,117128.624018261,58411.8179143548,53915.5147199546,23228.8828924634,5264.52394548221
0.359504345297234,0.337940533072414,0.758591536857948,0.35985673731436,0.364901640219252,0.373609078218424,200.391055857155,2929.11491480929,1502.9625595494,1539.18388110015,703.204590525911,162.707685045939
