"chain","iteration","theta1","theta2","theta3","theta4","theta5","theta6","theta7","theta8","theta9","theta10","theta11","theta12","logpost"
"npe_median",5020,1.37305738373337,-2.41362195816393,-3.06274336067799,-0.780176809068603,1.91237977192817,-1.33331042697262,-1.60995317807783,-0.0206135870447085,0.255211859012933,1.6871843490396,2.68756494539389,4.51102833645905,-36.5661660631057
"npe_median",5040,1.49732734302087,-2.50696797962662,-2.90570844330794,-0.84170608825849,1.91108173802836,-0.865929432239872,-1.74153925572902,-0.0585812291719666,0.372438967849033,1.62354428314155,2.53980912329718,4.99336068901075,-31.890768136067
"npe_median",5060,1.88676999182228,-2.54079434043903,-2.89042271702609,-0.85609692743803,2.01252900815037,-0.749211433910338,-1.69801409394061,-0.143654203488708,0.47206096801919,1.55693788072985,2.74465862430939,4.58783217650123,-31.771219208257
"npe_median",5080,2.07003866279518,-2.58870893055222,-2.91970986615963,-0.858209603535144,1.82712166778933,-0.522883970187097,-1.73621602681696,0.0763792396109639,0.144758317011935,1.7075973346011,2.58417708278551,4.54002535218308,-35.5284498670616
"npe_median",5100,2.01531629205208,-2.67108691089179,-2.82327885822909,-0.857363108350887,1.86476577180755,-1.33381749373119,-1.80324501739518,-0.175554676182599,0.124155856264694,1.79788009365307,2.68348603149863,4.59581976051496,-34.7611558205359
"npe_median",5120,1.8807791903293,-2.57805614785867,-2.90610662253811,-0.880002863221927,1.90866795135208,-1.1907313892654,-1.9174061748743,-0.00471242043132718,0.0708227813328973,1.92383223717255,2.6394339353251,4.6798962142056,-37.1053873762163
"npe_median",5140,1.89323933681688,-2.57070036724467,-2.91326714168486,-0.813095267928629,1.86329191279268,-1.35076855386379,-1.67763617211472,0.0186248414637805,0.401021225093964,1.73563586870272,2.67722601553327,4.42069049785179,-32.8878453042976
"npe_median",5160,1.66962871645294,-2.61331290512841,-2.95484546208189,-0.7760897808205,2.06657197275274,-0.837071256835453,-1.79026028955816,0.041999806263284,0.150979688280478,1.66118384625138,3.02451540216176,4.52218691374662,-34.9219496752632
"npe_median",5180,1.71472522376144,-2.48857285633175,-3.01026896323664,-0.768433231491142,1.96526085977805,-0.483835356350304,-1.55352697392676,-0.036992038579993,-0.0424133518020592,1.73622921468953,2.75338100902242,4.47137199194973,-35.4900261135568
"npe_median",5200,1.5589987304341,-2.55779931533323,-2.92503386070602,-0.794739459297783,1.95902657083176,-1.53356661887816,-1.55966704272949,-0.0397389897260222,0.248101035101945,1.68155748711612,2.5128258983693,4.75693251963801,-33.0223294386929
"npe_median",5220,1.6959920137003,-2.56987962575967,-2.94232871867569,-0.82223572800294,2.01478089839759,-0.894021153314518,-1.70381950841684,0.0943191716929271,-0.0759365101912205,1.76469665267081,2.57331406712499,4.8670059513634,-33.1378713896355
"npe_median",5240,1.54334152551664,-2.57621968643773,-2.91783602029299,-0.77680559695095,1.83356937731812,-0.864730333141812,-1.79890602302967,0.074410813898723,-0.0266086373971435,1.91836805642505,2.33920677733125,5.00105416644877,-34.8431713276273
"npe_median",5260,1.20657440836231,-2.4775517514622,-2.93433054972416,-0.726321728467642,1.45123538220413,-1.11760426546696,-1.88225074163445,-0.16802308461483,0.382282325598612,1.76972226256563,2.4307371090767,4.40904775399217,-38.4150914649601
"npe_median",5280,1.64614438474006,-2.39742242616412,-3.12992578753871,-0.728932791498694,1.52482338703485,-1.28761953606762,-1.66729658670783,0.123621807842873,0.0711137789230639,1.96688494328319,2.27314434803854,4.64301538270816,-38.1085591674608
"npe_median",5300,1.45992476058699,-2.37655877690392,-3.03955643533219,-0.801540008215995,1.871102278493,-1.38068785956225,-1.82649827485603,-0.129342179979892,0.257659912427928,1.94161905825721,2.44610740127293,4.30799505384429,-36.5081286895847
"npe_median",5320,1.20015234484966,-2.43225042423704,-2.93167097317222,-0.836234870024384,1.86392577308518,-1.11279982888647,-1.84143691757227,-0.226889312085504,0.23556400446421,1.6641986400341,2.67865880870025,4.54509976352662,-35.6143119999535
"npe_median",5340,1.69483171116391,-2.45996169187963,-3.01666164901335,-0.832900807934197,2.01583943629009,-0.907267530460715,-1.83875447934094,-0.0719161288770998,-0.147553225846293,1.76338513807935,2.40225990398736,4.58060712518247,-34.8083755743428
"npe_median",5360,2.10537755068334,-2.52503614200041,-2.93123804567597,-0.874100692381437,1.68018721296123,-1.40756120942824,-1.84074892881979,-0.107476720204586,0.136185339027406,1.91331413078256,1.84773574315077,4.8009576834708,-39.1782768247082
"npe_median",5380,1.70924416048433,-2.53799428000626,-2.9529105970778,-0.838399117801937,2.14423558289947,-1.19368829119789,-1.73084217277291,0.0218649109138754,0.101587772567858,1.74027837030263,2.63333250859231,4.43237780761954,-34.0461743453116
"npe_median",5400,1.41094085949452,-2.44035693473487,-3.02572467662762,-0.813252855026128,1.98325853139224,-0.880551703312796,-1.87643539909109,0.014585582012035,-0.032915648223803,1.80458322845666,2.6898465063497,4.86267933209412,-33.3769565785683
"npe_median",5420,1.79690513369132,-2.47873482428712,-2.96696905462289,-0.829861404706588,1.93420647986111,-0.817882021325658,-1.6698999993953,-0.161030567314848,0.0463227701186009,1.92007205431588,2.66014933141781,4.81536944299673,-34.6651193443084
"npe_median",5440,1.83451663112916,-2.53152219205502,-2.93277887194662,-0.838894987180442,1.84339543003719,-0.149089617352628,-1.70478647128056,0.0217679380682814,0.281722963110247,1.74823980604596,2.79249079411358,4.31664127505883,-36.8725287335196
"npe_median",5460,1.77130061038279,-2.49826012071551,-2.95954694888954,-0.833937961090884,1.97010996770274,-0.832800582148363,-1.75906234767265,-0.087534675829383,-0.0309558371697499,1.84908885362221,2.60925558017655,4.84073590766695,-31.9559088603182
"npe_median",5480,1.68293341016456,-2.5119874030466,-2.96335817103098,-0.82124453411998,2.09533218950959,-1.48647303121335,-1.72306443948008,-0.0407070823213462,0.00623178674401781,1.8264608738385,2.91032697759016,4.82155577204316,-32.9446016661951
"npe_median",5500,1.81483635749218,-2.55571285430694,-2.93418871709693,-0.846495834999177,2.00185015781614,-2.21043153747263,-1.76698480505093,0.0473527145801855,0.228392340151915,1.88679785610505,2.39976886309726,4.68344275532165,-35.1917530838324
"npe_median",5520,1.64100021784873,-2.6313293966781,-2.89766171638975,-0.75667164903516,1.68862603064425,-1.94858956994922,-1.78150535639417,-0.0193869843429478,0.165804375109582,1.87366747667653,1.9506119574743,4.71165753316197,-35.5096159886123
"npe_median",5540,1.80938159529686,-2.65724567474845,-2.8449074666201,-0.84440513767975,2.07240984467676,-1.58984861483259,-1.780832301006,-0.095376056850174,0.287560251949487,1.81957581095769,2.2994388609843,5.2145428951817,-36.6158081007639
"npe_median",5560,1.33760854838871,-2.35605520907797,-2.99144404039606,-0.808595319719903,1.80070016028391,-1.77100589675325,-1.65616683462659,-0.20652471185742,0.281458033392943,1.87521166840289,2.28363271176722,4.60548258504759,-36.1837760513931
"npe_median",5580,1.41429366844601,-2.47645281242135,-2.9745907939149,-0.813558103674639,1.94871699875482,-2.05729475476452,-1.88477170556507,-0.0514781730700243,0.0106734068784356,1.71124103936499,2.74205976221997,4.7392133287389,-33.6054714949552
"npe_median",5600,1.75735510421025,-2.51066240673547,-2.98710392027613,-0.813702823909188,1.86766324980102,-1.44519885135211,-1.76547023327997,-0.0217777926737213,-0.110861709140568,1.72217757410794,2.74108129146969,4.96111394821026,-34.7316204570679
"npe_median",5620,2.06680163740572,-2.53349051397851,-2.94543749646744,-0.822213860948272,1.86358617180774,-1.95468128775611,-1.78156204866782,0.045088590384166,0.203451723895823,1.71251237968932,2.74302815061915,4.58298524377544,-34.3361365700162
"npe_median",5640,1.9731604518574,-2.49392407817785,-3.00874163046668,-0.846930102865946,2.07412757485401,-1.79142561841266,-1.84084195911165,-0.00121325507051906,0.000593922295893917,1.69081762832872,2.76396854545222,4.49844736257691,-33.6623365189684
"npe_median",5660,1.79115917398755,-2.5404609638861,-2.94626892151075,-0.803864877373499,1.95824520205342,-1.34631587142092,-1.9045341660819,-0.00611173473290582,0.273565395520998,1.64148445565922,2.53926205253235,4.53658967327154,-31.2515275703331
"npe_median",5680,1.62577171703732,-2.46883729446422,-3.00872612647721,-0.769481818753688,2.0883806722274,-1.72389085026757,-1.89430185496259,-0.0988644991214487,0.13827670114836,1.46121268967152,2.80308452222205,4.74340103468601,-32.9863619764455
"npe_median",5700,1.72573783115945,-2.42449116308253,-3.05022041694603,-0.713636731341341,1.859885617822,-2.53338804725684,-1.90488465042173,-0.0486648193854618,0.158059932122015,1.82675448079335,2.46007093278984,4.88852846962862,-36.3130596305862
"npe_median",5720,1.82106905884276,-2.45812402482536,-2.99306283581935,-0.72104259612404,1.72923509895966,-2.2514509560225,-1.80669805110574,-0.163684006402235,0.305463509362514,1.83175765996929,2.07673379955353,4.95105356112375,-35.3731863652076
"npe_median",5740,1.6919358979422,-2.41718415582996,-2.97001722876431,-0.821977387251865,1.9098599246826,-1.7558916201672,-1.78560331386291,-0.131828193252758,0.378776802531262,1.72798423941513,1.95471328779657,5.01137001117694,-35.8865678513783
"npe_median",5760,1.55319969434309,-2.37395502440972,-3.03418003579493,-0.770731877208707,1.83820006747694,-2.26150182940237,-1.81387904297239,0.00728837717693539,0.48530302541067,1.8491586047704,1.8809609394594,4.85247888307765,-39.8574373821239
"npe_median",5780,1.45160222157836,-2.38737418833721,-2.92803055558859,-0.807103526244926,1.67114667322052,-1.349380568579,-1.76320671682139,-0.168609322138989,0.790134854554328,1.8472346851913,1.80935316556022,4.69878443682149,-40.8805993517947
"npe_median",5800,1.42096709990207,-2.44957055816595,-2.8865897967492,-0.882755630236621,1.95052281020313,-0.771980808127221,-1.90425372188292,-0.212030216844257,0.438377946866276,1.65473043882802,2.60964249199604,4.99197852561191,-35.1425568673389
"npe_median",5820,1.60302134652142,-2.47499620781091,-2.97164530859683,-0.805752142799999,2.17236744357556,-0.610588514448226,-1.83864708147745,-0.0353360047944577,0.121942419930632,1.7884971314443,2.84191035658485,4.9063428108335,-35.0730321811574
"npe_median",5840,1.64790334373261,-2.48802112200453,-2.9246762371878,-0.783757345718808,1.77399369878742,-0.655133432510315,-1.78915629382125,-0.233689587044299,0.225557312852903,1.9491508077369,2.54228792932425,4.50975586443574,-32.9841311614805
"npe_median",5860,1.66500037395266,-2.50014393894246,-2.92023405873883,-0.772513418115432,1.68502798432187,-0.882719668788562,-1.81102083452759,-0.17351040655418,0.302979958764059,1.81402870440105,2.19638482021401,4.84030254781148,-31.4917537813515
"npe_median",5880,1.92540982407814,-2.48710024951391,-2.9112614449653,-0.798403389211119,1.7971373262801,-0.471606633272421,-1.8230990769547,-0.16927201023846,0.36889001501346,1.84966576490915,2.50492518029479,4.67499124888395,-33.5536714755497
"npe_median",5900,2.20816967043311,-2.49138091136318,-2.91982712156629,-0.820277893703164,1.72695233394103,-1.98477927915998,-1.95171793385692,-0.0745614792524085,0.412483407690521,1.99618568226682,1.92649884392818,5.00153243137141,-41.9271562329337
"npe_median",5920,1.74142231428301,-2.46864657794941,-2.88671359514539,-0.853589351172494,1.81515981377056,-1.95567818121436,-1.72191775589017,-0.24987314712153,0.4921413395826,1.70241598336585,2.3889666225117,4.740632626367,-33.8825974798672
"npe_median",5940,1.86391087549461,-2.49014235062643,-3.00409126998062,-0.780505215052579,1.91046684894424,-0.978159563434581,-1.75793573884071,-0.124432947584317,0.243046658674705,1.63657707887697,2.46456021218666,4.60215231599447,-31.3734076472174
"npe_median",5960,1.87524326049128,-2.62264323531767,-2.89766576213453,-0.821095311821952,2.04672002577833,-1.39839345666915,-1.8675820878632,-0.112354398244945,0.35673829442111,1.61193429090428,2.666391490437,4.52611352491438,-32.0378266483516
"npe_median",5980,1.76966956352866,-2.60667338527437,-2.8094952174653,-0.840739557534249,1.8711264596008,-1.51587699615033,-1.85831302658163,-0.249658965179423,0.58488733021969,1.62168235330159,2.44942593118886,4.515818778689,-35.7174851888223
"npe_median",6000,1.84809011480213,-2.53216142943757,-2.94096335818558,-0.790965037003368,1.95528929435532,-1.38872748423936,-1.79558521162539,-0.0175509651997971,0.405282250005509,1.53870543556285,2.82794689291174,4.87128076930191,-31.5566390087861
"npe_median",6020,2.02099587246786,-2.52447652607058,-2.9201833979241,-0.836650294840767,1.9240465955045,-0.958643868028968,-1.68278039960042,-0.130886839571772,0.553453385842701,1.44515794531092,2.61885156827079,4.7868529957803,-33.3727001892341
"npe_median",6040,1.78139959086996,-2.52454692870889,-2.92686956749556,-0.798524162462566,1.87187977945611,-0.34303023941641,-1.83593038066761,-0.1787808672444,0.559939672779537,1.5983257052849,2.51504431743108,4.75943876619887,-33.3240170225213
