theta1,theta2,theta3,theta4,theta5,theta6,theta7,theta8,theta9,theta10,theta11,theta12
1.6215084,-2.6615767,-3.1123416,-0.58859766,1.232306,-2.422827,-1.7616085,-0.06782378,0.25955325,4.181996,1.43173,4.8032923
1.7259413,-2.6497378,-2.6831083,-0.9027828,1.2311387,-2.5301325,-1.7652892,-0.08720418,0.24371693,1.9388098,2.6200173,4.396116
1.5933436,-2.681963,-3.0549705,-0.6831676,0.600192,-1.5516099,-1.7629184,-0.08346308,0.2616816,2.8640401,2.3264425,4.90786
1.7141528,-2.7088275,-3.5657516,-1.032742,1.6526117,-2.3062265,-1.7667329,-0.0787862,0.30019048,1.0275656,3.400073,4.6050806
1.4718994,-2.6820266,-2.9269485,-1.0539975,1.7082593,0.67563653,-1.764708,-0.0946798,-0.10172947,1.8690244,-0.82986945,4.609418
1.7147857,-2.609239,-3.1584356,-1.0141463,1.1313533,-0.42862898,-1.7751964,-0.0705739,0.23151566,1.7928045,2.0420036,4.4130397
1.8037708,-2.5514934,-2.6498716,-0.877004,0.5560837,-0.32570884,-1.7585069,-0.066560075,0.05827231,2.4201462,1.060218,3.6383455
1.8321059,-2.589873,-3.4792337,-0.6302495,1.4203383,-2.72865,-1.7706015,-0.07570962,0.27382562,2.038569,3.6961968,4.2933455
1.7085683,-2.6608393,-2.8667424,-0.9738594,1.1983756,-0.58654195,-1.7737634,-0.088061206,0.35023743,1.2404588,1.0527014,4.2006702
1.5764401,-2.8247206,-3.0754094,-0.9255616,1.2078484,-0.8794569,-1.7638324,-0.09085591,0.2043116,2.125921,3.2591486,5.630314
1.6763164,-2.6262972,-3.2704484,-1.3394841,1.0457478,-0.026648061,-1.7770444,-0.089114174,0.21021684,0.23701258,-0.2421112,4.5583477
1.6794801,-2.6407568,-2.9872472,-0.8245247,1.5553577,0.09990336,-1.7694566,-0.092359066,-0.51877797,1.8551842,0.9465585,4.849453
1.7012929,-2.5851321,-3.1890182,-1.1364524,1.3215165,-2.7466836,-1.775773,-0.07377885,0.24581183,2.2224998,3.1438498,4.5468454
1.6059113,-2.6398153,-2.772253,-0.7691206,1.1724329,-1.3672221,-1.7349126,-0.06555253,0.43119314,2.3881145,2.553394,4.3153653
1.6845709,-2.6142132,-3.2403762,-1.0677341,1.3241624,0.22966217,-1.77877,-0.07263791,0.05891789,2.0845823,1.7598792,4.4440103
1.6977357,-2.6258647,-3.0330262,-0.74991626,1.5674005,-2.781366,-1.7554307,-0.07052301,0.53984356,1.1153413,1.9465479,3.753962
1.7545954,-2.573126,-3.0152469,-1.0670733,1.5006534,-0.70514613,-1.7796553,-0.07513711,0.298567,2.3285847,3.6697717,4.4757204
1.5223308,-2.687484,-3.3128793,-0.8350991,0.87298805,-0.71673656,-1.7664006,-0.07351512,0.19731851,2.414263,1.1635138,4.3052654
1.4940679,-2.725677,-3.323363,-0.5974208,1.0533373,-3.5656867,-1.7484753,-0.08425462,-0.06603938,0.05981215,2.4122348,4.68254
