theta1,theta2,theta3,theta4,theta5,theta6,theta7,theta8,theta9,theta10,theta11,theta12
1.7369413,-2.5051565,-2.8405087,-0.92990124,1.6004404,-4.2758636,-1.7802348,-0.10648583,0.22602336,1.7415727,2.417077,4.5067577
1.7319196,-2.5449183,-3.0045395,-1.1751716,1.4455999,-18.839691,-1.7830706,-0.0949279,0.24990267,1.4922277,0.90325814,3.2037714
1.7570477,-2.5372658,-2.8932724,-1.4027936,1.7738763,-10.121644,-1.7820909,-0.095571585,0.22088777,1.6222991,2.7793765,4.326192
1.743972,-2.5030909,-2.9614515,-1.0366925,2.118486,-1.7350869,-1.7789648,-0.0932724,0.2568499,1.7083378,2.8305895,4.7255774
1.7411895,-2.5566382,-3.0141175,-1.2166489,1.6456299,-7.6320148,-1.7881347,-0.09968463,0.2299072,1.666055,2.2269032,4.3247914
1.7272507,-2.5638106,-2.9251883,-0.77308255,2.878276,-5.0144916,-1.7822156,-0.100431845,0.23961136,1.6164416,3.5413628,4.8696947
1.7452506,-2.4795709,-2.9965692,-0.65439254,1.0036771,-1.771369,-1.7831331,-0.10629306,0.24473791,1.7407904,0.6407017,4.490832
1.749302,-2.5125506,-3.0228665,0.08309031,0.21664394,-3.9564385,-1.7771075,-0.10178803,0.18838948,1.8400621,1.9935732,4.114918
1.7271602,-2.5289695,-2.9363093,-0.63416916,2.2243316,-9.495746,-1.77605,-0.10228997,0.25220147,1.6934938,2.975089,4.53048
1.7436904,-2.507494,-2.9586134,-0.94311374,1.9228036,-0.91602147,-1.7784767,-0.09406358,0.27088365,1.6933528,2.7818446,4.5720983
1.7300917,-2.5499327,-2.9919412,-0.70616156,1.9195571,-4.817616,-1.7891222,-0.10751855,0.26581496,1.6785939,2.7461593,4.4376535
1.7399225,-2.5116544,-2.9569552,-0.63348687,1.1644751,-2.285847,-1.7807935,-0.097747006,0.29313004,1.7238926,2.1592588,4.3432665
1.7652762,-2.5076978,-2.9567683,-1.029834,1.5765756,0.71549135,-1.7869139,-0.10404782,0.2750133,1.6795603,2.4744952,5.034228
1.7283485,-2.5148504,-3.0510018,-0.70468134,1.1104186,-0.44207722,-1.7754419,-0.10611194,0.3854723,1.793075,1.9956312,4.202724
