theta1,theta2,theta3,theta4,theta5,theta6,theta7,theta8,theta9,theta10,theta11,theta12
1.7247584,-2.5017369,-2.9386842,-0.77729934,2.0589695,-1.0438973,-1.7768462,-0.0869106,0.24439707,1.6173652,2.907626,4.831976
1.7410908,-2.523603,-2.908725,-0.76173687,2.0260873,-0.7174829,-1.790244,-0.08715126,0.22559479,1.672707,2.8975341,4.8553357
1.7361821,-2.5244763,-2.9377506,-0.77126884,2.1362703,-1.3012832,-1.7801267,-0.07972234,0.27077925,1.6091185,2.9181802,4.7902946
1.7116374,-2.5415447,-2.9392467,-0.7302205,2.2088566,1.1607563,-1.7810929,-0.094686985,0.25165707,1.5672061,2.883326,5.3002234
1.737628,-2.525094,-2.930199,-0.7858696,2.0192587,1.4205015,-1.7784444,-0.080906555,0.23026885,1.757879,2.6854692,5.361561
1.7066739,-2.5310602,-2.9391441,-0.7937386,1.9692562,-5.741098,-1.781558,-0.07205237,0.2515009,1.6927361,2.7428772,4.686569
1.7222745,-2.523204,-2.9076056,-0.7295257,2.2362657,-1.2193139,-1.7877913,-0.095576555,0.2255165,1.6765679,3.0819619,4.830556
1.7011298,-2.548284,-2.9917417,-0.7583841,2.3169458,-1.1195303,-1.7727342,-0.092064954,0.17201005,1.5948881,3.0146089,4.763807
1.762316,-2.4893336,-2.9086897,-0.7641978,2.2593548,0.6289121,-1.7726278,-0.08936443,0.22049943,1.5772192,3.0311906,5.088215
1.7476665,-2.5137308,-2.9145517,-0.7708575,2.0216231,-2.3612673,-1.7817652,-0.08812695,0.26757535,1.6859801,2.8301976,4.778155
1.7368166,-2.5237575,-2.9097764,-0.7468011,2.0696,-0.61959225,-1.7914336,-0.08639906,0.22960852,1.7069355,2.9333165,4.8212733
1.7108626,-2.5081544,-2.9386683,-0.7365693,2.1657655,-2.4019597,-1.7801011,-0.09854565,0.25469327,1.6248825,2.9274712,4.7386713
1.7197384,-2.5197175,-2.917604,-0.78484267,2.343884,0.033121422,-1.7776121,-0.07674622,0.25359628,1.8649485,3.0654178,4.9748063
1.7282233,-2.5175447,-2.9077866,-0.77899605,2.0167544,-3.1572256,-1.7735447,-0.085714586,0.232163,1.6720521,2.8396077,4.7326155
1.7344999,-2.5095916,-2.925777,-0.78245896,2.1899498,-2.7206612,-1.7794825,-0.08594166,0.24204451,1.6622736,3.0376492,4.8098297
1.7244126,-2.5315394,-2.9380279,-0.7512785,2.104216,-3.276466,-1.7854201,-0.08708137,0.24243496,1.617534,2.9478433,4.75505
1.7416377,-2.518537,-2.945211,-0.7760804,2.1119025,-1.710276,-1.7905933,-0.08386877,0.2628316,1.6832519,2.8561366,4.854495
1.7254901,-2.5108793,-2.924713,-0.7825153,2.0019581,-0.50114745,-1.7819313,-0.082835324,0.23579308,1.7289481,2.8137825,4.8708935
1.7315105,-2.5055346,-2.9392152,-0.79906386,2.1205108,-1.9670846,-1.7762276,-0.07685361,0.23409754,1.6929069,2.8278213,4.7403593
1.7201804,-2.5086408,-2.942854,-0.7573473,2.0802753,-0.68409866,-1.774598,-0.08255357,0.25142422,1.7823944,2.8190548,4.8272343
1.7415239,-2.4942565,-2.925571,-0.7923416,2.3307698,-1.3398488,-1.7802484,-0.09691631,0.25958002,1.7637593,3.0682058,4.8683023
1.7322774,-2.5021234,-2.9093084,-0.76420283,2.0554433,-0.50468314,-1.7729958,-0.07989133,0.23264849,1.6848263,2.8147545,4.7524047
1.7216668,-2.513347,-2.9547749,-0.7120311,1.987128,-2.345582,-1.7745217,-0.08451053,0.26991016,1.6290232,2.8682542,4.654485
1.7008528,-2.5499187,-2.936776,-0.82051677,2.2207718,-3.1404333,-1.7769905,-0.06744318,0.22851601,1.5806588,3.051869,4.77811
1.7191365,-2.5143073,-2.9113073,-0.8016502,1.9744412,-2.7626426,-1.7827406,-0.079704225,0.19830817,1.5639833,2.7691987,4.576709
1.726864,-2.5203338,-2.9265828,-0.7956721,2.3104804,-2.1862342,-1.789458,-0.0843962,0.2575176,1.787091,3.1037407,4.792851
1.7408565,-2.503756,-2.9320521,-0.7581266,2.1385853,-1.046612,-1.7786244,-0.08507412,0.26139903,1.6690831,2.8567395,4.8424697
1.7554108,-2.5168455,-2.9262109,-0.77589935,2.2447376,0.068789095,-1.7834053,-0.08204577,0.26578075,1.6472166,3.0652676,4.9886465
1.7570561,-2.498212,-2.9229884,-0.7611479,2.2052128,0.16221315,-1.7809225,-0.09445078,0.28103969,1.5934527,3.059406,4.9947257
1.7212037,-2.5223367,-2.9523182,-0.63251156,2.2973006,-0.1638189,-1.7819653,-0.0775329,0.22563364,1.5174648,3.1499317,4.986664
1.7210573,-2.5310266,-2.918141,-0.76844436,2.265522,-1.8274657,-1.7837777,-0.07508766,0.23799951,1.7109079,2.98916,4.8008494
1.7621887,-2.4849737,-2.9079082,-0.75548756,2.1629293,0.90925103,-1.7833545,-0.0777035,0.27980748,1.5483543,2.9524426,5.0023713
1.748454,-2.529187,-2.934725,-0.71990335,2.0842862,0.23284082,-1.7780892,-0.08378999,0.27526733,1.5197489,2.8948677,5.1168146
1.7642695,-2.4891376,-2.9346812,-0.79078484,2.233758,0.28270578,-1.7800654,-0.082538314,0.23378947,1.656266,3.042157,4.925768
1.7202007,-2.495976,-2.9181445,-0.7655564,2.1328917,0.7522021,-1.7806119,-0.08294274,0.2390505,1.6899669,2.949483,5.056916
1.7162739,-2.5247486,-2.922132,-0.63757205,1.7904423,-1.9014355,-1.770915,-0.0958172,0.0040483945,1.5954658,1.2513578,4.630722
1.7282468,-2.5375912,-2.898398,-0.7641932,2.2602484,1.2040112,-1.7770509,-0.085355945,0.22500502,1.7207187,3.1147013,5.2513747
1.7275141,-2.501955,-2.9335866,-0.79047096,2.1788783,-0.2629198,-1.7882683,-0.08616698,0.26353875,1.5782558,3.0298803,4.904002
1.7367171,-2.5325644,-2.9164405,-0.721223,2.1267278,-1.3534012,-1.7921983,-0.08640371,0.2515266,1.550184,2.8398497,4.815169
1.7224025,-2.5217545,-2.876324,-0.7820627,2.1715882,-1.2509565,-1.7753745,-0.07950838,0.26576024,1.5789241,2.9603472,4.8489347
1.7207012,-2.530277,-2.8907678,-0.7596139,1.9410896,-3.2407548,-1.7778215,-0.084528215,0.23960418,1.6933849,2.682706,4.6982465
1.7123797,-2.5236542,-2.8967881,-0.7607397,2.1458557,-0.78478485,-1.7758965,-0.07341977,0.114590086,1.5810472,2.5879586,5.015706
1.7214653,-2.5090322,-2.934047,-0.78776795,2.07518,-0.7803791,-1.77405,-0.08404297,0.2248628,1.8168126,2.9580956,4.8886037
1.7103727,-2.517121,-2.894376,-0.781136,2.1809392,-1.0679609,-1.7830287,-0.08239141,0.21767572,1.6112862,2.9231913,4.775255
1.733868,-2.5021114,-2.9371765,-0.6918923,2.0016317,-1.0648125,-1.776476,-0.0908681,0.12745224,1.5172292,2.7660372,5.051336
1.7270441,-2.513802,-2.9208772,-0.8327945,2.0453694,-2.8643372,-1.7780093,-0.08455416,0.24175826,1.5555537,2.9035616,4.8470306
1.7123535,-2.5569704,-2.9813545,-0.8319141,2.0471346,-3.7282574,-1.7792174,-0.07798061,0.2910015,1.4509944,2.9936676,5.171757
1.7323024,-2.5315642,-2.8863509,-0.77831113,2.3568234,-2.3039546,-1.777413,-0.07960655,0.17831488,1.5210116,2.9849393,4.900888
1.7257509,-2.5340948,-2.9101107,-0.76289046,2.0455446,-2.382693,-1.7749181,-0.07511146,0.21657155,1.6653903,2.5237846,4.8436465
1.739403,-2.502139,-2.909777,-0.7869271,2.1589549,-0.3156276,-1.7738075,-0.0806612,0.24766399,1.6793271,2.9189212,4.8624015
1.7171104,-2.494556,-2.9107766,-0.7772465,2.1222334,-1.9798243,-1.7841445,-0.08435806,0.21216719,1.5934552,2.93493,4.7695785
1.7407277,-2.5105534,-2.9318614,-0.7777925,2.2427506,-2.4424891,-1.7710743,-0.08009771,0.26831922,1.662116,3.0457146,4.799577
1.7295156,-2.5219553,-2.9358892,-0.79901105,2.0026724,-2.470779,-1.7826729,-0.08597364,0.26942733,1.6971663,2.7793198,4.813104
1.7412045,-2.5088835,-2.925228,-0.78067803,2.3029802,0.344379,-1.7807633,-0.08994441,0.2691781,1.7161264,3.076915,4.990474
1.7489761,-2.500314,-2.9233143,-0.7840921,2.1696737,0.8835572,-1.7783678,-0.08448063,0.24410479,1.6144336,2.9881644,5.1327457
1.7139943,-2.5171192,-2.9004445,-0.7818614,2.15538,0.31249487,-1.7752938,-0.08484111,0.27446166,1.6286744,2.9427512,4.9201756
1.7216976,-2.5361602,-2.913882,-0.70438796,1.9973036,1.9153655,-1.792402,-0.08325669,0.260799,1.5431454,2.9612696,5.5973864
1.7538644,-2.4904926,-2.9114716,-0.75036305,2.1768885,-1.5318198,-1.7796421,-0.07686044,0.25648993,1.7140963,2.9339657,4.7747455
1.7425116,-2.4916172,-2.9093425,-0.7641307,2.1845791,-0.53402466,-1.7828368,-0.08616674,0.26619232,1.6409492,2.9212391,4.987677
1.7326097,-2.491259,-2.8966744,-0.77843606,2.0910125,-0.2601076,-1.7807192,-0.09230345,0.24161282,1.6788086,2.851671,4.802816
1.733849,-2.4939346,-2.8883343,-0.71176904,2.1508586,-3.3700824,-1.7734631,-0.07800749,0.24181242,1.5687941,2.9488018,4.798591
1.7372223,-2.514315,-2.9354758,-0.8464159,2.1589267,-2.698251,-1.777538,-0.081393726,0.2635165,1.5236809,2.9656162,4.9731584
1.7348003,-2.5280962,-2.9186964,-0.78401065,2.0694463,-3.0455015,-1.7853434,-0.096999936,0.2437357,1.7174143,2.8804326,4.745926
1.7463491,-2.5109255,-2.9131498,-0.67877954,2.3439713,-2.5479088,-1.7795781,-0.08951535,0.2678545,1.5329633,3.2762046,4.923422
1.711586,-2.517278,-2.9248927,-0.75642663,2.1072147,-1.6870672,-1.7782655,-0.08073725,0.27798876,1.6509749,2.858643,4.8196
1.7173742,-2.4988606,-2.9262938,-0.7510759,2.0733852,-1.5242898,-1.7859191,-0.08372346,0.22718036,1.5204005,2.786394,4.9460692
1.6806242,-2.540119,-2.9186525,-0.7372051,2.247493,-1.4739343,-1.7745787,-0.07906041,0.19530344,1.5914177,2.8816857,4.6937914
1.7179148,-2.5312183,-2.9477847,-0.8197724,2.2921784,0.42389575,-1.7760047,-0.07984872,0.2382069,1.5570194,2.8927493,5.0319552
1.7199638,-2.5103471,-2.9031546,-0.7631097,2.078453,-1.770563,-1.7790016,-0.07152868,0.25844944,1.7680719,2.9160159,4.8601403
1.734217,-2.5138812,-2.945555,-0.8039124,2.331353,0.48027557,-1.7750498,-0.09026388,0.23645893,1.8946308,2.8864064,5.008733
1.7275121,-2.519194,-2.9362257,-0.75780535,2.038927,-1.5354363,-1.7751344,-0.090993725,0.26953697,1.5270926,3.0020692,4.5305653
1.7397584,-2.5054517,-2.9343143,-0.77072006,2.0704083,-0.3743024,-1.7755785,-0.080528796,0.2427653,1.6431257,2.9199576,4.964014
1.7386367,-2.509399,-2.9161847,-0.80846465,2.2999346,-1.4786414,-1.7736037,-0.07615752,0.21483748,1.5691651,3.1398096,4.7417107
1.710806,-2.526744,-2.9059408,-0.6624582,2.1158504,-0.3740226,-1.7800786,-0.08725325,0.21361287,1.5223986,2.9469838,4.7226114
1.7338893,-2.5057213,-2.9435604,-0.70754147,2.1588745,-1.0003176,-1.7851126,-0.08382192,0.23501417,1.5305089,2.958753,4.6893635
1.730069,-2.524022,-2.89027,-0.70625633,2.1516695,-0.8719007,-1.7855923,-0.08629802,0.2737834,1.5086459,3.0058942,4.7758083
1.7244638,-2.5320015,-2.9798124,-0.7572993,1.9252286,-0.40991583,-1.7668028,-0.08140857,0.27672854,1.591828,2.773935,4.8682246
1.6987295,-2.5362823,-2.927616,-0.778587,2.202262,-2.2426033,-1.782209,-0.079646856,0.2533912,1.6414268,3.088947,4.824913
1.7236443,-2.5235643,-2.9410076,-0.7122197,2.058563,-3.2451584,-1.7743791,-0.09032389,0.2702856,1.6245018,2.9014575,4.6080465
1.7427558,-2.5049279,-2.9134033,-0.7989311,2.06921,-1.6050333,-1.77471,-0.093421035,0.22786234,1.7361721,2.370912,4.835892
1.709448,-2.545325,-2.9753776,-0.85108507,1.9608248,0.20474085,-1.7830333,-0.08855913,0.20956564,1.5169497,2.8278406,4.5185943
1.7547497,-2.5096714,-2.927618,-0.745988,2.2958577,-1.0800867,-1.7964882,-0.0860562,0.244886,1.5859535,3.1053047,4.848994
1.7274209,-2.489368,-2.9081733,-0.7791396,2.1362524,-0.78119963,-1.7745459,-0.07589462,0.24502498,1.6702337,2.9175146,4.848935
1.7155831,-2.5148368,-2.9196322,-0.75017506,2.1843278,0.031901628,-1.7798247,-0.08015975,0.25778714,1.6115053,2.9806616,4.91944
1.7364928,-2.513047,-2.9011106,-0.7382316,2.093671,0.79111826,-1.7759669,-0.07858223,0.24576262,1.5928729,2.9615023,5.1423264
1.7186882,-2.5233812,-2.9178095,-0.80437034,2.2010994,-2.2650506,-1.7769783,-0.086104,0.23559088,1.5682371,2.984596,4.683795
1.736769,-2.505945,-2.9066768,-0.7905386,2.192754,-4.163074,-1.7756053,-0.07272176,0.26393396,1.5835644,3.0236027,4.6668706
1.743442,-2.5088944,-2.9499638,-0.78408784,2.3198426,0.9231121,-1.7714982,-0.08865757,0.23957554,1.4599191,3.1075304,5.1134953
1.739062,-2.5308683,-2.9289007,-0.7900373,2.0494592,-2.0106797,-1.7735764,-0.07870497,0.26557827,1.7515894,2.4846523,4.8074813
1.7579937,-2.4927132,-2.884043,-0.75033057,2.0175712,-0.5112286,-1.7859358,-0.082710005,0.27733368,1.6213742,2.8272269,4.9059496
1.7082434,-2.529283,-2.943336,-0.7967695,2.1341553,-1.5297276,-1.7736002,-0.08912583,0.23525108,1.6332039,2.9212615,4.809838
1.7149208,-2.5233338,-2.8999996,-0.78118235,2.2455435,-2.047979,-1.7860291,-0.086786106,0.26223984,1.7648141,3.057123,4.748091
1.7278435,-2.506744,-2.917618,-0.79145694,2.1828732,-1.9539056,-1.7780889,-0.0738368,0.27288696,1.7785528,3.0316393,4.8880525
1.7343179,-2.5145626,-2.9202883,-0.7309161,1.9700933,-2.201085,-1.7778382,-0.09047199,0.25667188,1.5932959,2.8220794,4.7734485
1.745485,-2.4991333,-2.9184961,-0.7868951,2.2338011,-2.1262019,-1.7864648,-0.08999388,0.27516925,1.6667024,2.9861312,4.8570256
1.7277089,-2.5079212,-2.896666,-0.7485965,2.1690407,-0.2587398,-1.7716068,-0.0814523,0.27952567,1.652313,3.0037916,4.9260583
1.7365739,-2.526034,-2.9272087,-0.76591486,2.102908,-0.22733018,-1.7792313,-0.08978051,0.22916234,1.6279328,2.897392,4.915293
1.7175999,-2.506683,-2.9230702,-0.7600866,2.1128964,-0.3163704,-1.778334,-0.07397702,0.20506424,1.7363758,2.628738,4.919328
1.7250669,-2.545674,-2.9384487,-0.85531217,2.310723,-2.2277327,-1.776459,-0.08553254,0.21553725,1.4917071,2.962255,5.0678716
1.7272068,-2.5050557,-2.9002056,-0.7644987,2.3939443,-0.2835953,-1.777665,-0.08261518,0.23851208,1.5367603,3.121573,4.544356
1.7389865,-2.5065606,-2.9001932,-0.7561785,2.3125832,-2.0316026,-1.781485,-0.08662142,0.28064027,1.5620797,3.1857986,4.8322377
1.7037327,-2.5248423,-2.892861,-0.66550094,2.1596608,-3.2787476,-1.775675,-0.09254407,0.2571833,1.5823736,3.0898256,4.6272087
1.733855,-2.5252168,-2.9210079,-0.7891211,2.1993575,-3.0829651,-1.7787915,-0.07910013,0.25139365,1.6868107,3.0374048,4.7216682
1.7254266,-2.5227358,-2.909392,-0.7823749,2.044524,-3.2020895,-1.7780949,-0.0773322,0.25955006,1.6383957,2.8798084,4.7047925
1.7448703,-2.4975276,-2.9337022,-0.756896,2.1050947,-1.9184636,-1.7816584,-0.09019268,0.22345915,1.6216717,2.910001,4.7923226
1.7172215,-2.507649,-2.9246042,-0.75715446,2.15496,-0.2345415,-1.7843759,-0.09239647,0.2415545,1.7231812,2.9274027,4.8867397
1.7369106,-2.5145893,-2.9405277,-0.71404463,2.044438,0.29996693,-1.7707869,-0.084375985,0.2945416,1.5724411,2.904176,4.8445606
1.7462285,-2.5104358,-2.9523942,-0.7677044,2.0404003,-0.3524739,-1.7819805,-0.09083344,0.23252873,1.6613119,2.712801,4.811711
1.7426528,-2.4918118,-2.9264028,-0.6933057,2.1691928,-0.46713933,-1.774658,-0.07637855,0.23179208,1.5637463,2.9736898,5.055829
1.72922,-2.5104008,-2.9198503,-0.7525547,2.2108262,0.19417062,-1.7814775,-0.083739825,0.22641402,1.6692697,2.920818,4.9460235
1.7057269,-2.512385,-2.9258971,-0.7626303,2.0568125,-1.9340782,-1.7761261,-0.07639481,0.22664776,1.6226597,2.9788141,4.8845773
1.7331035,-2.5267508,-2.8971958,-0.74997073,2.0821753,-2.0199072,-1.774694,-0.08161238,0.26079422,1.6668347,2.8023233,4.8854856
1.7241586,-2.5138185,-2.8904743,-0.6705741,2.384933,-0.32830334,-1.7806756,-0.069802515,0.17200017,1.4418257,2.9805276,4.5305133
1.723755,-2.513748,-2.8790128,-0.7367493,2.1223533,-2.6213224,-1.7818552,-0.08092752,0.23250872,1.591766,2.8757467,4.795091
1.7306149,-2.498325,-2.9542768,-0.7947473,1.949614,0.48458344,-1.7745652,-0.07181626,0.26478902,1.7181572,2.75374,5.0744615
1.7292082,-2.5225134,-2.976775,-0.64794,2.1145148,-0.2172844,-1.7872571,-0.09570055,0.21945778,1.5402428,2.9242463,4.8590503
1.7346929,-2.5200584,-2.9313262,-0.7800846,1.9772644,0.6190624,-1.7875153,-0.09286565,0.25021207,1.6643196,2.801199,5.0410867
1.7450597,-2.4791546,-2.919863,-0.7902959,2.1626685,-3.3171682,-1.7847757,-0.086061455,0.23986673,1.6727798,2.9540477,4.673914
1.7238352,-2.5130005,-2.9271421,-0.76425177,2.217248,-1.103206,-1.7823504,-0.08730563,0.2622862,1.7091984,2.9918346,4.8534923
1.73333,-2.534899,-2.8964736,-0.81068873,2.1224189,0.13724689,-1.7737281,-0.08972505,0.21577933,1.4541961,2.858213,4.5079656
1.7341274,-2.5194046,-2.9205136,-0.74852306,2.0487125,-0.04258041,-1.7851435,-0.09193764,0.22887953,1.6237203,2.8813534,4.8108063
1.731208,-2.513106,-2.9111211,-0.70041317,2.283883,-3.9880638,-1.7871153,-0.0871969,0.24311574,1.5946476,3.1090984,4.7555385
1.7194487,-2.531034,-2.9234095,-0.76775485,2.190041,-0.9047607,-1.7798239,-0.09012771,0.24760184,1.6185457,2.9366255,4.85707
1.7197933,-2.5242875,-2.918401,-0.7935061,2.1341624,-0.73583126,-1.788762,-0.08235986,0.24028069,1.7872354,2.8982658,4.885982
1.7416898,-2.5183544,-2.9219599,-0.75030386,2.0747008,-2.5179567,-1.7704022,-0.067689575,0.2237946,1.5956731,2.7747169,4.68272
1.725025,-2.5154338,-2.921766,-0.8148724,2.2201476,-0.7309678,-1.7797765,-0.0900028,0.23050565,1.7450173,2.884027,4.8257523
1.7221346,-2.5181828,-2.9457207,-0.7680244,2.0099995,1.166335,-1.7739434,-0.083921276,0.2057466,1.622556,2.8348737,5.230336
1.7241819,-2.5122616,-2.9177072,-0.7819026,2.2043324,0.96642673,-1.7864032,-0.09110189,0.27468044,1.7655525,2.9430687,5.157404
1.7039664,-2.5219872,-2.9206612,-0.8048921,2.054259,-0.902236,-1.783566,-0.07273072,0.24634252,1.6738789,2.9378304,4.838379
1.7380291,-2.5053654,-2.9228244,-0.7816674,2.008054,-2.5826268,-1.7742057,-0.0876824,0.24706653,1.6325167,2.9476826,4.8230762
1.748374,-2.508605,-2.9064157,-0.7545497,2.225074,-2.9428363,-1.7808839,-0.070161745,0.2487757,1.5726962,3.0516775,4.721854
1.7340797,-2.5025759,-2.9094644,-0.7669294,2.2754984,0.05685799,-1.7771248,-0.08779921,0.24854404,1.5724818,3.0911686,4.914534
1.7467314,-2.5080338,-2.912152,-0.77997845,2.2620392,-1.1329308,-1.7808573,-0.07832623,0.2333853,1.6971895,2.9636443,4.7989063
1.7447549,-2.4955387,-2.9231682,-0.781294,2.2669165,-1.2874969,-1.7810297,-0.073479846,0.24628988,1.6907687,3.0051649,4.841869
1.7318832,-2.507385,-2.9226563,-0.77419645,2.1898887,-1.9924932,-1.7875869,-0.07639257,0.24085823,1.6552042,2.9290156,4.8780074
1.7363521,-2.5330374,-2.881427,-0.72467715,2.456271,2.3185866,-1.7811553,-0.09229355,0.2779029,1.4773097,3.1393487,5.778932
1.7321495,-2.5221982,-2.9345653,-0.7831061,2.1665514,-3.6098657,-1.7838967,-0.09685297,0.2205231,1.7179729,2.994117,4.7637644
1.7386668,-2.511301,-2.9341872,-0.7722518,2.159215,-1.3713428,-1.7836795,-0.08646907,0.2289925,1.6694986,3.0187745,4.82461
1.7184969,-2.521425,-2.937216,-0.7412256,2.1068738,-2.3798854,-1.7804457,-0.07634892,0.25698566,1.626678,2.82542,4.7066383
1.7377621,-2.5073583,-2.9194238,-0.75073934,2.059408,-0.68991494,-1.7862366,-0.087215655,0.2676744,1.6973168,2.87482,4.876934
1.7101531,-2.5144157,-2.916272,-0.6848933,2.2811213,-2.3216863,-1.7820722,-0.085689664,0.21838398,1.5722638,3.0170982,4.7974076
1.7446734,-2.5139122,-2.93261,-0.740793,2.228173,-1.7081625,-1.7712119,-0.0777889,0.26920342,1.6323903,3.0143106,4.793331
