"age_group","p_hat","p_lo","p_hi","p_obs_lo","p_obs_hi","N_hat","N_lo","N_hi","N_obs","N_obs_lo","N_obs_hi","p_overlap","N_overlap"
"<20",0.1086570240547,0.0630885392462793,0.192719192992105,0.0604892034858865,0.184039743924767,99.1195917559905,81.6123350415389,120.881205403055,99,81.3795043246405,120.435729872496,TRUE,TRUE
"20-29",0.172960764424684,0.156240296034787,0.198286241066495,0.152591037813342,0.194588375392617,1249.75892397718,1024.93354057705,1504.13667875352,1244,1022.5869028268,1513.35401981197,TRUE,TRUE
"30-39",0.268059573820107,0.248206688973308,0.296279527925711,0.246366946606246,0.291695838716589,1462.37702141073,1223.15215729071,1809.5212891631,1467,1205.89629135604,1784.63854265607,TRUE,TRUE
"40-49",0.430762936512514,0.412680419380442,0.461608559412902,0.407709214451291,0.45291201539318,1868.80692378512,1524.45488514272,2285.56277986306,1841,1513.32997436024,2239.61796661883,TRUE,TRUE
"50-59",0.477564164473142,0.459258804382137,0.508892938935137,0.457963856757478,0.50647288266655,1397.87245816671,1237.89705987258,1687.40624759563,1628,1338.24073778298,1980.49866901437,TRUE,TRUE
"60+",0.375465516263452,0.342034443250467,0.537342778254024,0.3093180036063,0.401779193754153,462.256083532118,405.1173962938,558.06699382003,409,336.204214836141,497.557712301523,TRUE,TRUE
