"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12"
"1",-0.0413895699758176,0.0687383813957475,-0.0479660057003328,-0.0636316428112133,0.0206130338050217,-0.00829860467453201,-0.00477238944204145,-0.012182440861933,0.993144982160281,-0.0138628262726655,0.00425782686548443,2.34531622922566e-05
"2",-0.429803529225922,0.631249277812564,-0.395388241534287,-0.481469005841696,0.118071036234505,-0.0356644956361532,-0.0185277038353708,-0.000529876930207268,-0.114401137725773,-2.63704490454411e-05,0.00225769974603435,-9.87640422246745e-05
"3",-0.690942756283015,0.200981151404151,0.388681901529816,0.496926497291777,-0.218544005559988,0.037252608738329,0.104777691183715,0.152208078432887,0.0149403516515344,-0.0186442566759663,-0.0181447835324424,-0.000401889063132302
"4",-0.554061746702212,-0.708152811560167,-0.0440791012214691,-0.335189676140432,0.250618291699158,-0.0405239473426818,0.0812263271735433,-0.0495218817710428,-0.00337584868216394,0.0220513229626015,0.0569259406266119,0.000137140317797081
"5",-0.100858724058913,-0.203559487978802,-0.482803182228192,0.0365786299351804,-0.714371647522568,0.12697275811264,-0.0893951423557671,-0.136017311990804,0.00166747660377242,-0.183570907106157,-0.356476708724448,-0.0153723353966322
"6",-0.00228466094381439,-0.00283246915656183,-0.00917465083300012,0.00223891694361857,-0.0107144260429349,0.00132933599851372,0.00497085992275188,-0.00330613962292419,0.00122450633184889,0.0744771209264724,-0.044422523851929,0.996104242951524
"7",-0.00593621858720651,0.00922362799911536,-0.0715759890270111,0.054459039759066,0.215386588807686,0.971098495701356,0.0484081616060855,0.00376888199025177,0.00307061843454917,-1.70475217777389e-05,-0.000349565664126809,4.60618260284448e-06
"8",-0.11456586629919,-0.0280823922606883,-0.455762277809944,0.57155150269547,0.421826346694511,-0.136422783076164,-0.447225856149648,-0.233018600483642,-0.00295657582089041,0.0188069990983892,0.0218160456703519,-7.69656380299697e-05
"9",0.0602513139581492,-0.0884040423691446,-0.323569870967885,0.127444026023289,0.148394105175961,-0.0749554848683093,0.175653895688969,0.878226713822701,0.00847063396523354,-0.0955120202800971,-0.169248854178873,-6.2353395331534e-05
"10",0.0332610301814757,0.000666499270446734,-0.362717517429239,0.226733800620506,-0.0865500021895474,-0.0548294114102831,0.71625239623682,-0.194316168552114,0.000380102848715804,0.124070026741501,0.489122175154793,0.00368671992567788
"11",0.0289465461159199,0.0645722649750034,0.0506583201923354,0.0787850398837842,0.309128461889174,-0.092303689198306,0.470920904739021,-0.28989487027066,-0.00114977071496598,-0.0109708295487156,-0.758397461949345,-0.032324440688434
"12",0.0160256152020774,0.0249414517450848,0.0591407278621119,0.0036541703400468,0.12337221869658,-0.0267835230274473,0.0777757387862466,-0.0912584738292665,-0.0156571265666762,-0.966818934735634,0.154368144780963,0.0805069354108681
