"start_id","seed","objective","convergence","fn_evaluations","elapsed_sec","theta1","theta2","theta3","theta4","theta5","theta6","theta7","theta8","theta9","theta10","theta11","theta12","contact_scale1","contact_scale2","contact_scale3","contact_scale4","contact_scale5","contact_scale6","beta_scale1","beta_scale2","beta_scale3","beta_scale4","beta_scale5","beta_scale6","equilibrium_pass","equilibrium_max_log_pop_ratio","equilibrium_max_prev_change","prevalence_rmse","prevalence_max_abs_err","population_mape","population_max_ape","binomial_deviance","population_srss","nll_prev","nll_pop"
"plausible_anchor",101,23.270181383282,1,2501,430.48,1.76988558548695,-2.5059732877737,-2.92412448436806,-0.836765469110581,1.96890689585869,-1.29851935676591,-1.74761260612883,-0.0940713216982282,0.263988359778503,1.66597204892616,2.69228701187676,4.71792199325563,5.87018168897931,0.0815961427970184,0.0537116967631213,0.433109165208012,7.16284247465769,0.272935614273261,0.174189305917627,0.910217841643447,1.30211303932849,5.29081368073766,14.7654059940749,111.935408292141,TRUE,2.20493811759352e-07,1.65836545440445e-06,0.00997410996764325,0.018487472246737,0.0530876234847814,0.130169051242796,2.15919626375839,3.54872377496947,21.4941201379424,1.77436188748474
"plausible_warm",1101,23.270181383282,1,2501,433.857,1.76988558548695,-2.5059732877737,-2.92412448436806,-0.836765469110581,1.96890689585869,-1.29851935676591,-1.74761260612883,-0.0940713216982282,0.263988359778503,1.66597204892616,2.69228701187676,4.71792199325563,5.87018168897931,0.0815961427970184,0.0537116967631213,0.433109165208012,7.16284247465769,0.272935614273261,0.174189305917627,0.910217841643447,1.30211303932849,5.29081368073766,14.7654059940749,111.935408292141,TRUE,2.20493811759352e-07,1.65836545440445e-06,0.00997410996764325,0.018487472246737,0.0530876234847814,0.130169051242796,2.15919626375839,3.54872377496947,21.4941201379424,1.77436188748474
"perturb_1",102,22.8009363998519,1,2501,432.827,1.71520603935197,-2.51256607106302,-2.96230073545426,-0.783167069136221,1.96287340580307,-0.618024978633973,-1.77874458629273,-0.0899770006359469,0.227871521556001,1.69030652034786,2.64546283984382,4.77197089093413,5.55782052413781,0.0810599664994456,0.0516998325963685,0.456956504330947,7.11975564849288,0.539007939226181,0.168849990858095,0.913952205349001,1.25592395591068,5.42114214086109,14.0899649713627,118.15187709955,TRUE,2.04253108525249e-07,1.55310440458356e-06,0.00881824948235991,0.0209422888795884,0.0492765631920357,0.141355983927084,0.920970742028656,3.84662219873334,20.8750073770775,1.92331109936667
"perturb_2",103,23.5311598770248,1,2501,434.043,1.56439372277311,-2.49182655400482,-2.98798125272024,-0.746014835180245,1.85026250122323,-2.19275208900709,-1.81460929466022,-0.114113798781496,0.101148973324873,1.8325803725764,2.54271659005941,4.70790637247558,4.7797761878093,0.0827586652657575,0.0503890568878873,0.474252767250548,6.3614892021429,0.111609167203599,0.1629015424608,0.892156423791473,1.10644145974941,6.24999318017925,12.7141632684539,110.819901263456,TRUE,1.88437319072655e-07,1.40753128707871e-06,0.0108010910909236,0.0200309892917273,0.0763241524106256,0.137954144430023,1.5342810601139,4.69249935006871,21.1816625361201,2.34624967503435
"perturb_3",104,22.8794468462203,1,2501,433.741,1.80439210015412,-2.52087618354027,-2.94798423574417,-0.791588882525753,1.92121961273063,-0.898926576165434,-1.7742058189788,-0.104929954317206,0.255091791678969,1.70264962287483,2.61100635829101,4.77729167615983,6.0762765579893,0.0803891402417471,0.0524453168644376,0.45312426179085,6.82928247207311,0.407006315620263,0.169618103501219,0.900387588640913,1.29058007994841,5.48847051986154,13.6127432579831,118.782213316317,TRUE,2.04192276728772e-07,1.54115477429828e-06,0.00795218265470981,0.014019569697222,0.0531804411677318,0.146561870597194,0.946154319042045,3.97891403228542,20.8875991655842,1.98945701614271
"perturb_4",105,23.4035175744248,1,2501,432.956,1.9191631947981,-2.5350233635559,-2.98448792358385,-0.743595337829078,1.85672994646262,-1.93609213498739,-1.81045208378157,-0.0840897520444903,0.188343028983274,1.79423161652777,2.51293419768631,4.71078266248907,6.81525304325975,0.079259867450755,0.0505653902644085,0.475401609815025,6.40276511618219,0.144266624126845,0.163580168142944,0.919348738963218,1.20724756523485,6.01485123345299,12.3410881794166,111.13911028755,TRUE,1.9743888319377e-07,1.4553569239184e-06,0.0136814951890481,0.0284045954165049,0.0639724436654051,0.150532439865783,1.77907890789347,4.19156153874634,21.3040614600099,2.09578076937317
"perturb_5",106,23.31739506824,0,339,58.585,1.81035269893383,-2.53014450112679,-2.92148843934995,-0.813946144077073,2.06512601730167,-2.06988431159382,-1.74357115035978,-0.161666344851914,0.379890772719463,1.64328946246737,2.74971469884169,4.69804665766618,6.11260296062913,0.079647510299331,0.0538534699919994,0.443106051324922,7.88629164423218,0.126200380781463,0.174894708759995,0.850725005969543,1.4621248767878,5.1721551703844,15.6381696597617,109.732617603444,TRUE,1.96873223785066e-07,1.460556604993e-06,0.0126186662945218,0.0287284574635707,0.0713387564974488,0.150060399856604,1.71673371598145,4.08520741553665,21.2728888640539,2.04260370776832
