"chain","iteration","theta1","theta2","theta3","theta4","theta5","theta6","theta7","theta8","theta9","theta10","theta11","theta12","logpost"
"npe_median",5020,1.7999021349954,-2.38974616633347,-2.78253695679198,-0.724213303994739,2.24448940264952,-0.761677041580095,-1.68999668185727,-0.151477334063073,0.162933439636277,1.64034479859152,2.69754318313893,4.68433805340084,-34.9609338075496
"npe_median",5040,2.01121333565307,-2.48782205660591,-2.7610468075718,-0.67073209580075,2.04702484923838,-1.63542235934209,-1.65377093789475,-0.18949698485615,0.0986581846641072,1.9248635589299,2.56492178018142,4.34764418904612,-36.9122248618212
"npe_median",5060,1.81998339510043,-2.50367700145335,-2.81618377001351,-0.624689429347836,2.33863574680787,-2.1548490882287,-1.7461593087092,-0.0637141420506391,-0.00274298648773502,1.86705540290257,2.8957733345214,4.60090596295909,-32.4159639084045
"npe_median",5080,2.12100752385388,-2.42989346410771,-2.84134038151722,-0.590794814033621,2.22559302425099,-1.58116436349478,-1.76033211559018,-0.0895798587921268,0.133388620252079,1.81855485184027,2.78859751995333,4.74028298473635,-30.1479279709743
"npe_median",5100,1.74276801123851,-2.54634529422394,-2.78362669183216,-0.597467086925557,2.19776623436716,-1.27783976909247,-1.74217615683472,-0.0239518412395704,-0.0295362692947051,1.873229801465,2.84604416670787,4.81404066245657,-31.1516925587976
"npe_median",5120,1.64506773318244,-2.48185247868431,-2.82258959636394,-0.580762153858799,2.3141819064335,-2.43748267106997,-1.84621164229948,-0.215352765935703,0.12120956727437,1.65809456569276,2.76831768228046,4.88991128014571,-33.7849937920791
"npe_median",5140,1.64583564842565,-2.46433633423808,-2.76428157441159,-0.652384229811287,2.26934522792442,-2.14572221256213,-1.77678100582147,-0.0856798295744021,0.30335665578574,1.57301063483031,2.91579839671608,4.52240287983113,-30.0263137459681
"npe_median",5160,1.50939586244604,-2.48804074335967,-2.76172861312422,-0.652997749555489,2.26650538196919,-1.50362397393895,-1.81886147430299,-0.0609825104200649,0.262524803044244,1.65119022488342,2.95140399604564,4.57622091854558,-30.6045246860308
"npe_median",5180,2.01860816212525,-2.41154863521243,-2.82581875102677,-0.687168342905957,2.37782364443621,-0.534694879556607,-1.71689999267296,-0.0670124968771102,0.477217726713331,1.23026253636515,2.94492923215054,4.55889251847964,-34.0696599635785
"npe_median",5200,1.8016881304773,-2.37735622412248,-2.85493185142831,-0.561027446307747,2.27878448347089,-1.55363979802416,-1.74555510001011,-0.184672791073419,0.277859080535384,1.50868500877201,3.00162065956703,4.36832311116233,-30.7816161388085
"npe_median",5220,1.70470555500896,-2.34253203121872,-2.83990755776054,-0.665189429874079,2.31126776018872,-0.92706011698007,-1.74439836289206,-0.13504415206939,0.392813464778489,1.15575482127428,2.93549990768159,4.69813272455386,-33.6335395641845
"npe_median",5240,1.73698346716055,-2.41425523106213,-2.90762555678667,-0.530437073450337,2.23780944566632,-0.855588083749654,-1.71372566672188,0.0119868970104096,0.241119941842671,1.430609520372,2.90088136657034,4.56972233155588,-30.5399027033012
"npe_median",5260,1.94655465602206,-2.41723446098272,-2.84062461878674,-0.600907268763758,2.31365895977256,-1.59127533663941,-2.06584865001964,-0.0985544857074782,0.349517605805988,1.37014254644159,3.08398678763943,4.64803492583484,-33.2201771454056
"npe_median",5280,2.07522371293686,-2.46826375333391,-2.74698232095934,-0.655252987497186,2.2549932288948,-1.60077864077086,-2.00409390726323,-0.194654920016753,0.34697004173508,1.57985314190594,2.81197543951426,4.23002246558446,-34.2581005170227
"npe_median",5300,1.73164067600812,-2.47874649675322,-2.80484414918565,-0.610573321876357,2.28552054360887,-1.37173214505896,-1.91622875036246,-0.182695028269082,-0.18976371486177,1.69149346294369,2.69544882759825,4.61671568078601,-34.6137957687667
"npe_median",5320,1.48594723158468,-2.52478696466745,-2.74236606086913,-0.633259531262142,2.38747485529928,-1.22954984201718,-1.96502522589547,-0.12464895096882,0.0649961812266513,1.80116075531718,2.54865329788308,4.73592603437868,-36.4896381472357
"npe_median",5340,1.71746319577609,-2.48300683562054,-2.79806569631743,-0.611912571725197,2.19598031604675,-1.70635452616049,-1.94240423175695,-0.0036461244258212,-0.196638982966659,1.96560214201154,2.24905209779516,4.52335370012192,-37.7222360373128
"npe_median",5360,2.02619291595927,-2.5264779473815,-2.74183123950761,-0.68236071189819,2.12269971544412,-0.797033770071189,-1.78672705273655,-0.145106932378834,0.172023118585623,1.81345701061484,2.12442774934569,4.70830913022777,-36.4955492165235
"npe_median",5380,2.07202102881971,-2.65047098697402,-2.72676132972829,-0.643386174472336,2.28053941521293,-1.14285208451269,-1.66069082851944,-0.0056509560389499,-0.0935617190606308,1.59378535395181,2.51005536352729,4.82647700946229,-37.1830498452835
"npe_median",5400,1.9711568810946,-2.52914926580704,-2.8171779119733,-0.635145182906602,2.2840562040416,-1.21251661185106,-1.83061367320473,-0.0657522939299396,-0.268089667897734,1.6707144866636,2.82146554000795,4.72679912298446,-32.1476174079647
"npe_median",5420,1.76028723581487,-2.56397029969089,-2.73687333974067,-0.612669505782652,2.20436504499695,-1.4590531534275,-1.79346667953619,0.101319727396118,0.0533402804511307,1.38900235702482,2.99250714623894,4.5851505969128,-34.5410169726069
"npe_median",5440,2.26859314022992,-2.48657339026077,-2.90915543192193,-0.538599842946056,2.29184075726951,-0.753045450819165,-1.78743519904215,-0.0811145149122494,0.0347999352508083,1.80450119234228,2.70977497546029,4.80268412671263,-32.5934834175328
"npe_median",5460,1.87873262746571,-2.4309334322983,-2.89249970700069,-0.578374672407787,2.17843423117924,-1.22348189279107,-1.80069227359332,0.109492677859988,0.0596882796959722,1.68155864572118,2.93688816512325,4.46936600640396,-30.0287762649455
"npe_median",5480,1.87548910329463,-2.37215909466192,-2.88913310046705,-0.593345438012403,2.36926386540624,-1.82830256200165,-1.69499923445234,-0.101654985557766,0.154847325268686,1.63702337873918,3.07423024440923,4.77257951916658,-31.1733493313501
"npe_median",5500,1.89066245940734,-2.440543326185,-2.82177325360888,-0.622040057235884,2.13505896144172,-0.795128554455831,-1.69559931961332,-0.0233562815636378,0.0279245823581568,1.66215906471654,2.56955686363619,4.73301148152904,-31.5731358548359
"npe_median",5520,1.92828323614837,-2.33641792300953,-2.88647855294301,-0.608879490572983,2.28559654006351,-1.5127016411466,-1.99831106396609,-0.0369040592703926,0.221023221976871,1.72230362182763,2.94482953565921,4.39752392908256,-33.9180376429693
"npe_median",5540,1.8987429690716,-2.57850139949589,-2.71277121568086,-0.586338245840241,2.01181612592954,-1.78526686719501,-1.69929719954035,-0.0817128890694736,0.103449493433062,1.91941536035725,2.72245858331527,4.81376527063432,-33.940624913343
"npe_median",5560,1.45968173640778,-2.55304613506033,-2.84511485818982,-0.467159928518918,2.19362398502314,-1.63655926147228,-1.75053633333439,-0.108094079606591,-0.101907044053298,1.81223657083181,3.09750072076828,4.74537270668318,-38.0603640988611
"npe_median",5580,1.5085406611819,-2.42044003844901,-2.85881381262677,-0.542566810578223,2.3378126789915,-1.59410760387114,-1.86024796759427,-0.192016685008019,0.132878688027321,1.24776886916978,3.09718142283706,4.25763487674883,-35.9724532656743
"npe_median",5600,1.74425375284925,-2.36871708142688,-2.7988647592284,-0.665888123081169,2.13195400198581,-1.5882666703911,-1.69800414149744,-0.072388438320647,0.447107117249193,1.01646983855643,3.03547642578212,4.07083361792108,-39.1472269656943
"npe_median",5620,1.61138996797498,-2.49347269425284,-2.79319764949433,-0.577816242758518,2.15936280084195,-1.97371871206367,-1.87963146055756,-0.0304779691085859,0.241452281891364,0.997053267054016,2.96599376117676,4.48079740311513,-39.4823778431648
"npe_median",5640,1.58812061901556,-2.44036802185428,-2.88352260749102,-0.494755917346804,2.23633007254534,-1.41576706916085,-1.83030357392229,-0.08344082735446,0.285343625715809,0.778771182917932,3.21157570987877,4.48475646224843,-41.5757519926808
"npe_median",5660,1.57425261303816,-2.44667042089988,-2.96183970930544,-0.473508781873739,2.37970306772562,-0.550500861837385,-1.72174561130751,-0.00105469839951186,0.300613011565127,0.972231224076009,3.16827782660959,5.06353789106671,-41.5282301115196
"npe_median",5680,1.86490008493573,-2.4342788125834,-2.88172943947767,-0.540981598833237,2.18658441288853,-2.0368659828822,-1.6859989911585,-0.00478779124239716,-0.13844161554113,1.73002375309617,2.91146886030993,4.67238877655655,-32.1274134268038
"npe_median",5700,1.94320908027505,-2.47129177571776,-2.90277802411339,-0.623872749658225,2.29392723636617,-2.3535459023023,-1.86989608473203,0.138993769323636,-0.0449246363761067,1.60750639239718,2.86718737142785,4.466748859857,-33.7505615339931
"npe_median",5720,1.86503611464489,-2.44583114815618,-2.82809594089616,-0.621664970432601,2.22025262020362,-2.60723134682444,-1.91544668030197,-0.0634116904681373,0.183406333494182,1.69049763424444,2.64003135877987,4.01603403434102,-35.2689647803665
"npe_median",5740,1.89288992324097,-2.43999976903236,-2.84424243984816,-0.64870544453968,2.10672823582416,-2.22474774879873,-1.78483836172287,0.0117265290510436,-0.0334956388992363,1.89752135868805,2.82022056216631,3.42154772018852,-37.9121446470497
"npe_median",5760,2.11343631318072,-2.51113535315046,-2.82556000224749,-0.630022805472486,2.25717315926294,-2.52406350821507,-1.90898395325057,0.0761154931526394,-0.110361613616416,1.7196090049127,2.822100874513,3.94038595327755,-37.1644505248193
"npe_median",5780,1.97381199464005,-2.5822150584913,-2.76691292685122,-0.573121166285588,2.0817070441762,-2.78149222407368,-1.77988154897761,0.0105111474956364,0.14559987528606,1.74198311934383,2.73372039531045,4.40358343155982,-34.7436083849478
"npe_median",5800,1.78262480656889,-2.51287936407223,-2.75620213324885,-0.619050959357156,2.1881058768618,-1.66557220197416,-1.67229247264377,0.0109270351693676,0.583412177936017,1.32647590337318,2.77453731139809,4.60370604224521,-33.4449210442111
"npe_median",5820,1.67543994818485,-2.49048394694037,-2.77778175377848,-0.662831742138463,2.25363560237022,-1.35364617150784,-1.79865710315019,-0.042980752151999,0.439419169844508,1.30056120508306,2.75401952438211,4.61333997150491,-32.3784697343675
"npe_median",5840,1.52384730854451,-2.47456783569778,-2.81072260798208,-0.590544129892038,2.38792566587371,-0.966955892425685,-1.76673268450488,-0.0464644415014692,0.37738431740734,1.22715036488061,3.17099093576942,4.62127509583943,-32.6023169242758
"npe_median",5860,1.82654674381396,-2.41010920655666,-2.89475881287398,-0.58030652815146,2.28093505946666,-1.39988902808724,-1.74076906840938,-0.095000935693484,0.0866194163195366,1.58761842508069,2.98209041224937,3.82101792475028,-32.005784369889
"npe_median",5880,1.75346956372055,-2.40394617669283,-2.79397662112456,-0.720525732787531,2.24262319722389,-1.68150093678112,-1.71836356399584,0.03278358248022,0.457701700090838,1.40141706683749,2.96887839678682,3.91208207690752,-35.7614488534623
"npe_median",5900,2.18771813046519,-2.34991563293206,-2.92779561904507,-0.602244932932491,2.12351054206125,-0.511165324800808,-1.86242018120042,0.0447737113380236,0.552884433496404,1.51900606341584,2.92212254133354,3.2872646287705,-45.6950165921395
"npe_median",5920,2.1057410526631,-2.40441042152264,-2.86958741139454,-0.558801750259627,2.23629304601662,-1.42530893556893,-1.858585503605,-0.153769535467932,0.600202368982349,1.56609916652069,2.93955372411028,3.63034328121459,-37.1269583051968
"npe_median",5940,1.85220414491497,-2.40490870203983,-2.87292938733853,-0.609499958594149,2.31320884093476,-2.32358960945655,-1.73567178634101,-0.062550599379174,0.197655661261255,1.43450266550259,3.03769092214604,4.45181135425664,-31.1182772035502
"npe_median",5960,1.91468619869539,-2.52593711952449,-2.78342768147699,-0.645027150592518,2.34945989067218,-1.11612053944962,-1.83161999476379,-0.00757884144289562,0.253077039418574,1.51882874596277,3.1290383825019,4.20075743623648,-31.5199688831837
"npe_median",5980,2.0057022543458,-2.51358890671189,-2.77952886715914,-0.631405175033927,2.24653462444124,-1.62113172664806,-1.67096780775237,-0.255686591279517,0.218887411487961,1.36620072412649,3.01134960296973,4.39474481792773,-34.2430534181848
"npe_median",6000,1.92299332739767,-2.45523269163759,-2.81456153443989,-0.590873005805342,2.18083597003374,-1.48421231295093,-1.84205324211641,-0.0808956738796104,0.46690171988239,1.32752952051226,2.6617072159415,5.00539370624549,-32.9556746117444
"npe_median",6020,1.79251536569954,-2.48885109287961,-2.79698205324658,-0.585351507360434,2.31342341518805,-1.16309120235876,-1.68269369661628,-0.0662752000115355,0.394125417049575,1.46233537470253,2.73679243801982,5.00821598275505,-30.8748397940343
"npe_median",6040,2.05932310206555,-2.50116118787549,-2.7786620962365,-0.592452675559311,2.22471414672508,-1.47455896562696,-1.76720672718648,-0.140587152770064,0.424573295690182,1.49669916400392,2.89158946246013,4.67716286721397,-29.1294887399433
"npe_median",6060,1.88283131006567,-2.43638905384922,-2.82438831934151,-0.627918070244214,2.16656991738683,-1.24357542920494,-1.54006709293284,-0.0180145921244167,0.131744631881889,1.64284721139322,2.85700184331934,4.23004168561,-33.1440177811214
"npe_median",6080,1.77606963710383,-2.47489066682243,-2.86578868656758,-0.535150826957171,2.22918109853107,-0.992682535236521,-1.75354925151255,-0.0207673905317145,-0.0673019743888093,1.58567430880771,3.13564873751363,4.45872536309163,-31.5770541678963
"npe_median",6100,1.61022322511458,-2.37138962578301,-2.90145920749246,-0.591020130932191,2.38498547333611,-1.18497018337503,-1.90586872713895,-0.121171786560738,0.0665865477394859,1.33025680090917,3.17537469563091,4.25753157513721,-34.4561071773431
"npe_median",6120,1.57303109478858,-2.53448271877014,-2.79599434302277,-0.5550347586366,2.27083178798753,-1.64571450071444,-1.93009049821508,-0.110863941046254,0.197590350339448,1.61115672486978,2.78810250456913,4.64008540074629,-31.428366232676
"npe_median",6140,1.45257962450987,-2.54528176224359,-2.79240575949859,-0.605978878248099,2.2433940537951,-1.41097756090974,-1.93257121249458,0.058684090401398,0.0521380839338769,1.77144557344015,2.8840262884475,4.19305345747489,-34.5557877822899
"npe_median",6160,1.44509948301088,-2.4195104230443,-2.90608999785899,-0.62491534380762,2.27033563454275,-2.26819418178086,-1.84703159799015,0.0360109794524615,-0.141964408641624,1.77501555670162,2.82043177927969,4.49436553119823,-34.5759967819387
