age_group,p_obs,p_ppc_median,p_ppc_lo,p_ppc_hi,p_obs_in_cri,N_obs,N_ppc_median,N_ppc_lo,N_ppc_hi,N_obs_in_cri,eq_pass_fraction,n_draws_used
<20,0.1111111111111111,0.1057623121538867,0.048998487352344675,0.2013786726754666,True,99.0,98.7219793094795,81.65008375740061,120.51735691546224,True,1.0,4000
20-29,0.17282958199356913,0.16710115958097416,0.07193705091226987,0.32565202071281474,True,1244.0,1296.4162055884299,607.7128274980433,2757.814340105089,True,1.0,4000
30-39,0.2685753237900477,0.2633862334049303,0.15234712072014064,0.36885849811972915,True,1467.0,1494.749280491638,1189.1091422008983,4496.490479252412,True,1.0,4000
40-49,0.43020097772949484,0.4261274351709786,0.33062748845614,0.5350537562710762,True,1841.0,1902.3692097522683,1514.0261211282857,3690.4128681999387,True,1.0,4000
50-59,0.4821867321867322,0.4742866272233348,0.40041528345506194,0.581520405790685,True,1628.0,1514.8640144496098,1272.394705072819,2071.541553870607,True,1.0,4000
60+,0.3545232273838631,0.362859681552891,0.32197787799926086,0.452618636010926,True,409.0,451.2552325740771,391.45905790268057,598.346274219296,True,1.0,4000
