age_group,prev_obs,prev_ppc_median,prev_ppc_lo,prev_ppc_hi,prev_obs_in_cri,bayes_p_prev,pop_obs,pop_ppc_median,pop_ppc_lo,pop_ppc_hi,pop_obs_in_cri,bayes_p_pop,n_draws_used
<20,0.1111111111111111,0.10101010101010101,0.030303030303030304,0.2222222222222222,True,0.5975,99.0,98.82014987807202,80.83869295109379,120.6108523722711,True,0.50725,4000
20-29,0.17282958199356913,0.16720257234726688,0.06993569131832797,0.32558279742765284,True,0.54075,1244.0,1242.5084437651233,1023.8663649727677,1519.9623218437123,True,0.505,4000
30-39,0.2685753237900477,0.26380368098159507,0.1499659168370825,0.37356850715746426,True,0.54325,1467.0,1468.5195070830196,1205.2233016173125,1795.6967525256225,True,0.49525,4000
40-49,0.43020097772949484,0.4269418794133623,0.3296985334057578,0.5361352525801196,True,0.53725,1841.0,1839.3002293636255,1513.1764945621157,2245.7009572566035,True,0.50325,4000
50-59,0.4821867321867322,0.4742014742014742,0.3961916461916462,0.5835534398034399,True,0.58825,1628.0,1621.8064512135088,1336.6697075132515,1993.0770684534245,True,0.5175,4000
60+,0.3545232273838631,0.3643031784841076,0.30317848410757947,0.45965770171149145,True,0.406,409.0,408.43980905091865,336.6698516537357,497.6897765166537,True,0.506,4000
