parameter,numpyro_median,numpyro_q025,numpyro_q975,legacy_median,legacy_q025,legacy_q975,interval_overlap,median_shift,ks_statistic,ks_pvalue
theta1,1.8246098803145832,1.5155078877275903,2.10876028876532,1.81851403140319,1.3582667411819576,2.20152948277378,0.5932524010377296,0.0060958489113931424,0.10376666666666665,1.351465154976504e-18
theta2,-2.4568875398798258,-2.54361486854329,-2.3657744133194623,-2.45520380207866,-2.584923015183531,-2.3341152389799737,0.17784045522382774,-0.0016837378011658188,0.09341666666666659,3.770092891690631e-15
theta3,-2.8345836812749963,-2.9434435734111224,-2.735233280162741,-2.8344081688216853,-2.9883746607366812,-2.7101402743013616,0.20821029324838136,-0.00017551245331093313,0.06669999999999998,6.204257312838969e-08
theta4,-0.5809966602440291,-0.6632661349524543,-0.5018418328580163,-0.581247364426936,-0.6990983634802482,-0.4753468013479351,0.16142430209443803,0.00025070418290695784,0.09260000000000002,6.803762157670758e-15
theta5,2.2258702150172223,2.0409608136681956,2.3920653301249284,2.227715976005665,1.9613660955602823,2.4114505808807176,0.3511045164567328,-0.0018457609884428017,0.04680000000000001,0.0003988797960052646
theta6,-1.3775639236504507,-2.0777722367077405,-0.6676156332543169,-1.3827971599263802,-2.32488817554121,-0.4457219269101749,1.4101566034534234,0.0052332362759295314,0.0789333333333333,6.139478932391065e-11
theta7,-1.7969982505516757,-1.9831161467576999,-1.6024018949255978,-1.79374545487578,-1.9843251918397202,-1.6050581881756025,0.37805795858209734,-0.0032527956758956478,0.018233333333333324,0.5329082362368339
theta8,-0.05969729636342763,-0.25725045772233207,0.13255982922278942,-0.06207444680659025,-0.2652685940199889,0.1405239617433256,0.3898102869451215,0.002377150443162619,0.014100000000000001,0.8294410726380145
theta9,0.1900676257977225,-0.1978815382651447,0.5656775948195302,0.2001552015829015,-0.23508077298014307,0.5513292567482012,0.749210795013346,-0.01008757578517902,0.026049999999999962,0.14140986351132734
theta10,1.6518431619474425,1.3175092209194543,1.9823043013857387,1.66507521377019,1.2473291369298192,1.9713142497935932,0.6538050288741388,-0.01323205182274756,0.035566666666666635,0.014492623216488018
theta11,2.7692904538903056,2.382639988782561,3.1765436668032443,2.819702674022915,2.3026762571375676,3.150777902467797,0.7681379136852362,-0.0504122201326096,0.10964999999999997,1.0232571444874251e-20
theta12,4.706728755630838,4.285353309727401,5.081878523467086,4.63930944393198,3.992630067003049,5.062633824356764,0.7772805146293633,0.06741931169885795,0.13515000000000005,2.844849984859268e-31
