age_group,N_hat_1d_median,N_hat_7d_median,N_abs_diff_mean,N_abs_diff_max,N_rel_diff_pct,p_hat_1d_median,p_hat_7d_median,p_abs_diff_mean,p_abs_diff_max,eq_pass_1d,eq_pass_7d
age1,99.19589324716793,99.07034608951716,0.12617304821948858,0.15962981456944192,0.12719583854656288,0.10700066546298828,0.106932520001775,6.863141980265046e-05,0.00010791019194797413,1.0,1.0
age2,1252.8519710844835,1251.4817174518935,1.3895460667291628,1.824903429642518,0.1109106342009707,0.17154217698190316,0.17145350433934659,8.8069728723668e-05,9.904825154866126e-05,1.0,1.0
age3,1464.5797753847492,1464.4783991308166,0.24046153232782558,0.8453540085827171,0.016418465990673377,0.26766401784468663,0.26750815947836226,0.00015759119541310928,0.0002143519087730028,1.0,1.0
age4,1878.273588654974,1877.8183962146077,0.350995794384778,1.4554998861722197,0.01868714954545706,0.4305510626425229,0.43035052379232397,0.00019999184691643025,0.0002426469980877366,1.0,1.0
age5,1455.5904261139913,1456.2369927491682,0.6581005647421,1.3382632128202658,0.04521193276181677,0.4791395380517316,0.47904446722022065,8.347079299282218e-05,0.0001295540748446622,1.0,1.0
age6,439.397456463597,440.56317942184364,1.1800584948864197,1.4576100853914795,0.26856288709176557,0.36299512900125225,0.3633176206352884,0.0003184999102809036,0.00041116580571709527,1.0,1.0
